ME,Iteration,Hidden Nodes,Learning Rate,Momentum,Regularization
10.8061457528475,1,"(16, 16)",0.1,0.8,0.0005
10.8089778550671,0,"(16, 16)",0.2,0.8,0.0001
10.8170778744018,2,64,0.1,0.3,0.001
10.8198461546115,2,"(32, 32)",0.2,0.3,0.0001
10.8233182760192,0,"(16, 16)",0.1,0.3,0.001
10.8238429522747,0,64,0.2,0.8,0.0005
10.8258056884628,0,128,0.2,0.8,0.0001
10.8268885806336,0,"(16, 16)",0.2,0.3,0.001
10.8271295429907,1,"(8, 16, 8)",0.1,0.8,0.001
10.8293777986303,2,"(16, 16)",0.1,0.8,0.0001
10.8296743450823,1,"(8, 8)",0.2,0.3,0.001
10.8297807818863,2,64,0.1,0.8,0.0005
10.838694542218,2,128,0.1,0.5,0.0005
10.843211871383,0,"(8, 16, 8)",0.1,0.8,0.001
10.8521586173149,0,"(8, 8, 8)",0.1,0.3,0.0005
10.858483352703,2,"(16, 32, 16)",0.1,0.3,0.0005
10.8586706431348,2,128,0.1,0.5,0.001
10.8594715893791,0,"(16, 32, 16)",0.1,0.3,0.0001
10.8596456659904,0,32,0.2,0.3,0.001
10.8602650254579,2,64,0.2,0.8,0.0005
10.8645333407809,1,"(16, 16)",0.2,0.8,0.0001
10.8645586916062,0,"(16, 32, 16)",0.1,0.5,0.001
10.8668636558235,1,64,0.1,0.3,0.001
10.8672603426779,2,"(8, 8, 8)",0.2,0.5,0.001
10.8683193161127,1,"(16, 16)",0.2,0.5,0.001
10.8699047997465,1,64,0.1,0.8,0.0005
10.8709037816421,2,"(16, 16)",0.1,0.5,0.0001
10.8767766509832,2,"(16, 32, 16)",0.1,0.8,0.0005
10.8795270535736,1,"(8, 8)",0.2,0.8,0.001
10.8795933977904,1,"(8, 8, 8)",0.2,0.8,0.0005
10.8802181996513,1,64,0.2,0.5,0.0001
10.880959101878,0,"(32, 32)",0.2,0.3,0.001
10.8831914267575,1,"(8, 8, 8)",0.2,0.5,0.0005
10.8842598175355,1,128,0.2,0.5,0.001
10.8854221235629,2,"(16, 32, 16)",0.1,0.5,0.0005
10.8855866166626,2,128,0.2,0.8,0.001
10.8901538319221,2,64,0.1,0.3,0.0005
10.8935505840242,2,"(8, 8, 8)",0.2,0.5,0.0005
10.8956382093938,0,32,0.1,0.3,0.0005
10.8969567310892,2,"(8, 8)",0.1,0.5,0.0001
10.8971173847236,2,"(32, 32)",0.1,0.3,0.0005
10.9034588830162,2,64,0.1,0.5,0.001
10.9077506521342,0,"(8, 8, 8)",0.1,0.5,0.0001
10.9078689001389,2,"(32, 32)",0.1,0.5,0.0005
10.9105160236546,1,"(16, 16)",0.2,0.5,0.0001
10.9175126482825,2,"(8, 8)",0.2,0.8,0.001
10.9191216068379,0,64,0.2,0.5,0.001
