@relation ./files/finalDataSetTrimmed.csv
@attribute Pick integer
@attribute Pos { C, SG, FC, G, F, SF, PF, PG, GF }
@attribute HT integer
@attribute WT integer
@attribute Age integer
@attribute League { NCAA, INTERNATIONAL, GLEAGUE }
@attribute GP integer
@attribute GS integer
@attribute MIN real
@attribute FGM real
@attribute FGA real
@attribute FG_percent real
@attribute 3PM real
@attribute 3PA real
@attribute 3P_percent real
@attribute FTM real
@attribute FTA real
@attribute FT_percent real
@attribute OFF real
@attribute DEF real
@attribute TRB real
@attribute AST real
@attribute STL real
@attribute BLK real
@attribute PF real
@attribute TOV real
@attribute PTS real
@attribute TS_percent real
@attribute eFG_percent real
@attribute ORB_percent real
@attribute DRB_percent real
@attribute TRB_percent real
@attribute AST_percent real
@attribute TOV_percent real
@attribute STL_percent real
@attribute BLK_percent real
@attribute USG_percent real
@attribute Total_S_percent real
@attribute PPR real
@attribute PPS real
@attribute ORtg real
@attribute DRtg real
@attribute PER real
@data
61,SF,196,84,22,NCAA,131,105,30.4,3.96,9.4,0.422,2.37,6.21,0.382,1.45,2.06,0.704,0.82,3.69,4.51,2.01,0.82,0.47,1.5,2.13,11.75,0.566,0.548,2.93,12.7,7.92,12.52,17.03,1.49,1.54,19.66,150.74,-2.5,1.25,106.4,101.3,13.93
61,F,203,90,23,NCAA,119,110,29,3.22,8.51,0.378,1.46,4.01,0.365,1.55,2.04,0.757,1.05,4.14,5.19,1.49,0.71,0.78,2.03,2.13,9.45,0.498,0.464,4.09,15.32,9.85,9.59,18.31,1.36,2.96,19.36,150.01,-3.8,1.11,94.3,103.4,10.7
61,GF,198,93,22,NCAA,116,70,20.1,2.24,4.63,0.484,0.48,1.52,0.318,0.7,1.07,0.653,1.02,2.26,3.28,0.64,0.36,1.18,1.68,0.9,5.66,0.551,0.536,6.02,12.4,9.33,5.91,14.86,1.06,6.74,15.3,145.56,-2.41,1.22,106.4,96.5,12.98
61,SF,198,98,21,NCAA,80,52,25.4,3.67,8.09,0.454,0.61,2.15,0.285,2.39,3.26,0.732,1.41,3.94,5.35,1.4,1.34,0.51,2.39,1.79,10.35,0.537,0.492,6.78,17.53,12.36,11.47,15.65,3.09,2.56,23.34,147.11,-3.45,1.28,104.2,93.7,17.55
61,SF,198,91,23,NCAA,121,75,22.9,2.74,6.18,0.443,1.86,4.36,0.427,1.21,1.4,0.87,0.7,2.63,3.33,0.78,0.74,0.11,2.25,0.51,8.55,0.624,0.593,3.62,13.09,8.43,6.35,6.96,1.88,0.59,16.4,173.93,0.02,1.38,128.6,96,16.03
61,SG,188,84,23,NCAA,124,99,29.1,3.85,9.3,0.414,1.44,4.22,0.34,1.51,2.08,0.725,0.73,2.91,3.64,2.65,1.49,0.18,1.47,1.69,10.64,0.517,0.491,2.85,11.58,7.18,18.2,14.14,2.96,0.69,20.67,147.89,0.26,1.14,104.8,101.3,15.07
61,PF,203,109,22,NCAA,122,100,25.3,3.45,7.18,0.481,0.9,2.49,0.362,1.39,1.91,0.73,1.66,3.55,5.21,1.62,0.66,0.77,2.19,1.54,9.2,0.569,0.543,7.95,16.25,12.19,13.63,16,1.57,3.71,20.17,157.2,-1.9,1.28,110.1,95.3,17.19
61,PG,188,74,19,NCAA,24,22,30.8,4.71,11.04,0.426,1.79,5.25,0.341,1.79,2.21,0.811,1.21,2.75,3.96,2.38,1.08,0.58,1.21,2,13,0.538,0.508,4.5,10.58,7.49,13.72,14.19,2.04,1.98,22.7,157.9,-1.36,1.18,108,104.9,18.22
61,GF,196,104,21,NCAA,127,127,34.4,7.61,14.2,0.536,1.2,3.54,0.341,3.31,4.56,0.725,4.06,5.77,9.83,1.35,1.02,1.04,2.05,2.17,19.74,0.603,0.578,13.21,20.55,16.72,8.46,11.68,1.69,3.45,26.09,160.22,-3.64,1.39,122.7,99.2,26.48
61,SG,196,88,22,NCAA,127,127,33.9,4.35,10.26,0.424,1.32,3.91,0.338,3.5,4.5,0.776,0.94,3.38,4.31,3.93,1.03,0.35,2.46,2.43,13.51,0.545,0.488,3.41,11.66,7.64,23.31,16.36,1.82,1.18,22.81,153.79,0.6,1.32,108.9,104.4,16.16
61,C,208,118,22,NCAA,105,97,22.8,3.87,6.74,0.573,0.01,0.04,0.25,1.96,3.38,0.58,2.31,3.1,5.42,0.64,0.47,1.08,3.32,2.11,9.7,0.581,0.574,12.19,15.47,13.88,6.56,20.21,1.21,5.4,23.66,140.37,-7.65,1.44,104,97.7,17.41
61,SF,196,97,23,NCAA,120,82,24.3,2.88,7.59,0.38,1.44,3.99,0.361,1.77,2.25,0.785,0.32,1.68,2,1.61,0.77,0.22,2.36,1.73,8.97,0.518,0.475,1.54,7.74,4.73,12.09,16.68,1.8,1.02,21.02,152.62,-2.7,1.18,100.9,102,10.75
61,SF,201,95,20,NCAA,50,47,29.6,2.94,7.2,0.408,0.84,2.3,0.365,1,1.58,0.633,1.52,3.4,4.92,1.38,1.3,0.72,2.84,1.88,7.72,0.486,0.467,5.47,12.63,8.99,8.73,19.12,2.45,2.88,16.05,140.65,-3.17,1.07,93.1,99,11.62
61,FC,203,103,22,NCAA,111,87,25.2,4.2,8.55,0.491,0.23,1.02,0.23,1.55,2.57,0.604,1.64,3.9,5.54,1.13,0.77,0.98,2.17,1.68,10.18,0.521,0.505,7.94,17.78,13.01,9.9,14.64,1.78,4.23,23.42,132.46,-3.74,1.19,100.2,96.5,16.59
61,G,206,86,23,NCAA,104,80,28,4.63,10.47,0.443,1.83,5,0.365,3.12,3.81,0.821,0.63,3.26,3.89,1.9,0.49,0.27,1.77,2.12,14.22,0.579,0.53,2.79,14.25,8.53,13.89,14.75,1.01,1.12,26.52,162.87,-3.08,1.36,109.5,99.4,17.7
61,SF,203,97,19,GLEAGUE,1,0,20.9,1,5,0.2,1,3,0.333,0,2,0,1,5,6,1,0,0,2,3,3,0.255,0.3,6.93,23.32,16.72,5,33.78,0,0,18.48,53.33,-11.36,0.6,51.1,104.4,-5.39
61,PF,206,91,25,NCAA,105,65,21.8,3.26,7.94,0.41,1.1,3.6,0.304,1.63,2.32,0.701,1.04,2.69,3.72,0.88,0.36,1.29,2.31,1.61,9.24,0.511,0.479,5.22,13.53,9.37,8.4,15.1,0.92,6.61,23.36,141.51,-4.54,1.16,98.6,100.3,13.73
61,PF,206,107,22,NCAA,95,57,21.4,3.37,6.64,0.507,0.2,0.76,0.264,1.31,2.05,0.636,1.84,2.41,4.25,0.93,0.34,0.52,2.72,1.72,8.24,0.541,0.522,9.97,12.78,11.39,8.38,18.38,0.9,2.52,21.53,140.69,-5.11,1.24,102.3,101,13.81
61,PG,183,79,23,NCAA,111,99,30.7,5.16,12.32,0.419,2.14,5.67,0.378,2.54,3.13,0.813,0.5,2.65,3.14,4.5,1.31,0.12,1.63,2.7,15.01,0.544,0.506,1.89,9.72,5.88,28.66,16.38,2.47,0.43,27.4,161.02,0.99,1.22,108.1,102.3,18.53
61,G,188,82,23,NCAA,128,128,33,4.01,9.35,0.429,1.24,3.58,0.347,2.05,2.59,0.795,0.65,2.07,2.72,3.72,1.11,0.06,2.52,2.15,11.31,0.535,0.495,2.3,7.2,4.77,22.57,16.88,2.01,0.2,20,157.03,1.04,1.21,107.2,101.9,13.58
61,C,208,116,23,NCAA,86,67,25.9,4.28,9.21,0.465,0,0.02,0,3.49,6.06,0.576,3,6.29,9.29,1.5,0.72,0.76,2.63,2.33,12.05,0.498,0.465,12.21,28.61,19.95,12.49,16.14,1.59,3.29,26.38,104.05,-5.08,1.31,101.9,94.9,19.65
61,C,216,109,22,NCAA,101,43,18.3,3.04,5.17,0.588,0.63,1.64,0.386,0.92,1.36,0.679,1.24,3.31,4.54,0.59,0.33,1.64,1.99,0.85,7.63,0.657,0.649,9.13,21.41,15.67,7.4,12.78,1.18,11.91,21.13,165.25,-2.85,1.48,123.1,84.1,24.98
61,SF,196,100,23,NCAA,116,82,23.1,3.32,6.53,0.509,0.56,1.84,0.304,1.14,1.92,0.592,1.17,3.19,4.36,1.45,0.68,0.17,1.7,1.32,8.34,0.56,0.552,6.11,15.11,10.83,11.68,15.06,1.69,0.83,19.36,140.43,-1.53,1.28,108.1,101.8,15.12
61,PG,185,84,23,NCAA,118,106,33.3,5.58,12.47,0.447,1.04,3.2,0.325,3.66,4.64,0.79,0.62,4.13,4.75,4.69,1.38,0.14,1.74,2.19,15.86,0.54,0.489,2.19,14.81,8.46,30.44,13.01,2.55,0.56,26.76,156.22,3.01,1.27,114.4,100.1,21.72
61,F,198,82,21,NCAA,81,80,30.2,4.72,11.59,0.407,2.02,5.8,0.349,2.78,3.99,0.697,0.78,3.23,4.01,2.06,1.25,0.17,2.02,2.07,14.23,0.528,0.494,2.71,12.28,7.29,13.61,13.33,2.27,0.67,24.16,145.23,-2.21,1.23,105.1,102.1,15.58
61,SG,196,100,23,NCAA,115,94,29,4.64,10.93,0.425,1.86,5.08,0.366,3.78,4.65,0.813,1.16,3.09,4.24,1.25,0.95,0.11,2.7,1.43,14.93,0.568,0.51,4.72,12.14,8.5,8.54,9.84,1.88,0.44,25.71,160.43,-2.07,1.37,114,105.7,18.47
61,PG,196,91,22,NCAA,95,60,25.5,3.16,8.41,0.375,1.06,3.39,0.314,2.04,2.82,0.724,0.28,2.83,3.12,2.45,0.77,0.26,1.34,2.21,9.42,0.483,0.439,1.33,12.91,7.19,18.94,18.48,1.77,1.12,23.99,141.3,-2.31,1.12,93.5,102.5,11.38
61,GF,196,102,19,GLEAGUE,18,5,27.2,3.28,8.83,0.371,0.39,2.33,0.167,1.22,1.78,0.688,1.06,4.28,5.33,5.56,1.17,0.22,1.89,3.06,8.78,0.456,0.393,4.28,16.86,10.66,27.89,24.11,2.09,0.77,19.76,122.52,2.37,0.99,89.7,110.5,10.24
61,C,208,113,23,NCAA,111,39,16,2.74,5.52,0.496,0.77,2.01,0.381,1.35,1.7,0.794,1.4,2.91,4.31,0.61,0.33,0.59,1.86,0.96,7.59,0.6,0.565,10.4,20.37,15.54,8.22,13.21,1.25,4.16,24.11,167.07,-3.63,1.38,116.3,95.8,21.86
61,PG,196,93,23,NCAA,122,67,24.5,3.28,7.79,0.421,1.28,3.68,0.347,2.93,3.48,0.844,0.52,3.27,3.8,2.57,0.66,0.28,1.47,1.7,10.77,0.571,0.503,2.44,14.29,8.56,19.38,15.3,1.55,1.27,22.66,161.28,0.02,1.38,113.3,98.7,17.59
61,FC,213,110,22,NCAA,110,55,22,2.87,6.04,0.476,0.21,0.67,0.311,2.54,3.43,0.74,2,3.69,5.69,0.75,0.38,1.01,2.9,1.52,8.49,0.554,0.493,10.11,18.91,14.48,7.14,16.53,1,5.04,20.52,152.68,-4.6,1.41,108.5,102.8,16.56
61,G,193,93,22,NCAA,93,76,33,4.68,11.29,0.414,1.69,4.81,0.351,1.98,2.37,0.836,0.44,3.03,3.47,3.45,1.2,0.13,1.7,2.22,13.02,0.524,0.489,1.51,9.78,5.77,18.66,15.14,2.05,0.44,21.23,160.19,0.25,1.15,108.1,105.4,14.75
61,SG,191,91,23,NCAA,107,87,29.9,3.74,8.14,0.459,1.07,2.88,0.373,2.81,3.25,0.865,0.64,2.84,3.48,3.76,1.74,0.4,3.01,2.35,11.36,0.587,0.525,2.59,11.05,6.92,26.6,19.5,3.43,1.61,20.92,169.76,0.55,1.4,110.9,96.9,17.66
61,SG,198,93,22,NCAA,64,50,32.3,4.44,10.45,0.425,1.22,3.59,0.339,2.28,2.95,0.772,0.38,2.59,2.97,2.34,1.19,0.22,1.89,2.28,12.38,0.522,0.483,1.41,8.9,5.32,14.42,16.14,2.19,0.76,21.97,153.61,-2.3,1.18,103.3,102.5,14.77
61,PF,198,100,24,NCAA,96,60,26.5,4.33,9.61,0.451,0.98,3.2,0.306,2.36,3.99,0.593,1.52,4.33,5.85,1.8,1.44,0.91,2,2.28,12.01,0.522,0.502,6.24,18.11,12.12,14.46,16.54,2.97,3.64,25.11,134.96,-3.89,1.25,99.5,97.2,17.81
61,PG,193,88,24,NCAA,125,123,33.4,5.17,11.7,0.442,2.3,5.62,0.408,2.91,3.38,0.861,0.83,3.55,4.38,2.22,1.13,0.22,1.32,1.34,15.54,0.584,0.54,2.97,12.66,7.81,12.62,9.18,1.96,0.75,22.19,171.06,0.4,1.33,121.2,99.3,19.17
61,SG,196,91,23,NCAA,100,25,18.1,2.69,5.79,0.465,1.19,3.15,0.378,1.14,1.47,0.776,0.4,1.61,2.01,0.95,0.27,0.16,0.95,0.8,7.71,0.594,0.567,2.96,10.4,6.93,10.05,10.98,0.9,0.95,21.76,161.79,-0.97,1.33,115.6,100.3,16.34
1,C,216,113,19,NCAA,35,35,33.5,7.89,12.89,0.612,0.34,1,0.343,4,5.46,0.733,3.37,8.2,11.57,1.63,0.57,1.89,2.31,1.97,20.11,0.65,0.625,13.47,28.2,21.39,10.24,11.3,0.99,6.07,26.6,168.78,-2.69,1.56,130.3,97.5,30.69
2,PF,211,109,19,NCAA,33,32,33.9,8.18,13.33,0.614,0.7,1.76,0.397,3.97,6.33,0.627,4,7.09,11.09,1.52,0.82,0.88,1.82,2.27,21.03,0.643,0.64,13.73,21.38,17.8,8.45,12.21,1.36,2.57,25.94,163.7,-3.66,1.58,128.1,97.5,28.41
3,SF,201,104,19,INTERNATIONAL,73,54,25.1,4.42,9.84,0.45,1.48,4.77,0.31,3.85,4.88,0.789,0.95,4.36,5.3,4.52,1.11,0.37,1.64,2.18,14.18,0.592,0.525,4.96,20.95,13.3,30.54,15.38,2.42,1.51,26.86,154.95,3.39,1.44,120.7,105.9,22.84
4,PF,211,110,18,NCAA,35,34,21.8,3.4,6.63,0.513,1.09,2.74,0.396,3.03,3.8,0.797,1.49,4.31,5.8,1.11,0.6,3,3.2,1.77,10.91,0.647,0.595,8.76,19.74,14.94,9.29,17.36,1.61,14.2,23.5,170.58,-4.84,1.65,120.7,85.8,25.21
5,PG,185,82,19,NCAA,32,32,35.4,8.16,19.31,0.422,3.69,10.25,0.36,7.38,8.56,0.861,0.44,3.47,3.91,8.72,1.69,0.25,1.78,5.22,27.38,0.585,0.518,1.34,9.87,5.76,48.64,18.25,2.5,0.67,37.17,164.34,1.53,1.42,114.7,106.9,26.93
6,C,213,113,20,NCAA,30,29,30.2,4.87,9,0.541,0.47,1.7,0.275,2.7,3.97,0.681,3.2,7.33,10.53,0.5,0.77,3.7,2.53,1.53,12.9,0.593,0.567,12.17,28.33,20.19,3.62,12.35,1.52,13.21,21.3,149.59,-4.15,1.43,118.4,88.3,26.53
7,PF,208,122,19,NCAA,37,37,26.9,4.84,8.62,0.561,0.51,1.24,0.413,3.35,4.54,0.738,2.95,6.11,9.05,2,0.81,2.05,2.84,2.03,13.54,0.628,0.591,12.79,23.15,18.32,12.9,15.83,1.7,7.61,22.67,171.23,-2.55,1.57,125.3,92,26.44
8,PG,185,87,19,NCAA,33,32,29.9,5.94,13.27,0.447,1.33,3.97,0.336,5.94,7.64,0.778,1.03,2.73,3.76,3.61,0.85,0.09,2.45,2.79,19.15,0.567,0.498,4.05,9.78,7.05,27.68,14.16,1.61,0.33,32.91,156.11,-1.28,1.44,113.1,104.8,22.47
9,SF,206,98,18,NCAA,37,37,32.4,5.3,11.89,0.445,1.54,4.51,0.341,3.43,4.43,0.774,0.89,4.51,5.41,1.43,0.84,0.27,2.22,2.3,15.57,0.556,0.51,3.3,14.45,9.28,8.7,14.1,1.49,0.96,24.6,156.12,-4.16,1.31,109.5,101.8,16.49
10,SG,201,95,21,NCAA,116,73,27.3,3.95,7.53,0.525,1.47,3.69,0.4,1.93,2.28,0.845,1.13,3.22,4.34,1.58,1.41,0.87,2.22,1.07,11.3,0.656,0.623,5.36,13.25,9.58,10.35,11.04,3.04,3.57,18.48,176.94,-0.07,1.5,131,94.1,21.48
11,PG,198,82,19,NCAA,37,24,33.7,4.95,10.19,0.485,0.62,1.54,0.404,3.86,4.73,0.817,0.89,3.24,4.14,5.11,1.65,0.49,1.68,2.7,14.38,0.578,0.516,3.17,9.96,6.82,28.82,17.85,2.82,1.66,21.94,170.61,2.09,1.41,116.7,100.8,20.1
12,SF,201,102,20,NCAA,62,60,31.6,6.23,13.24,0.47,2.05,5.47,0.375,2.52,3.24,0.776,1.35,6.21,7.56,2.42,0.65,1.11,1.69,2.15,17.02,0.576,0.548,5.46,20.32,13.66,15.8,12.67,1.2,3.6,27.23,162.09,-1.73,1.29,114,95.9,21.97
13,SG,193,86,21,NCAA,90,89,34.6,6.24,13.88,0.45,1.76,4.69,0.374,3.43,4.54,0.756,0.51,3.3,3.81,3.27,1.3,0.27,2.5,2.88,17.68,0.551,0.513,1.67,11.06,6.31,20.49,15.21,2.14,0.85,27.46,157.99,-2,1.27,104.6,106.2,17.24
14,PF,208,99,19,NCAA,3,1,17.7,3.33,10,0.333,1,3.33,0.3,2.33,3,0.778,1.33,5.33,6.67,0.33,1,0.33,2,1,10,0.438,0.383,8.79,31.78,20.87,5.35,8.05,3.39,2.12,37.37,141.11,-4.61,1,91.7,83.5,20.36
15,SF,198,98,18,NCAA,35,35,31.2,4.09,9.2,0.444,0.91,3.14,0.291,2.23,3,0.743,1.51,4.69,6.2,3.17,1.57,0.2,2.23,2.46,11.31,0.532,0.494,5.88,18.04,11.99,18.65,18.78,2.89,0.76,20.95,147.79,-1.1,1.23,105.8,101,15.91
16,SG,193,90,19,NCAA,37,21,28.4,4.16,7.49,0.556,0.49,1.08,0.45,2.46,3.43,0.717,2.24,2.76,5,1.78,1.14,1.14,1.81,1.11,11.27,0.618,0.588,9.54,11.12,10.35,12.55,10.84,2.33,4.81,18.24,172.25,0.29,1.51,128.9,94.2,21.48
17,SG,193,92,21,NCAA,85,12,25.4,3.56,7.6,0.469,1.53,4.05,0.378,1.58,2.24,0.705,1.09,2.94,4.04,2.4,0.93,0.21,1.78,1.62,10.24,0.591,0.57,5.5,13,9.49,16.44,15.78,2.15,0.92,20.95,155.22,-0.1,1.35,117.3,97.7,17.97
18,SG,196,93,19,NCAA,32,18,27.8,4.12,9.94,0.415,1.75,5.06,0.346,1.5,2.03,0.738,0.41,2.19,2.59,1.91,0.94,0.47,1.59,1.16,11.5,0.527,0.503,1.73,9.19,5.49,12.97,9.59,1.99,1.84,22.36,149.92,0.42,1.16,109.3,101.7,15.7
19,SF,201,86,19,NCAA,65,65,31.9,4.2,9.02,0.466,2.12,5.38,0.394,1.46,1.95,0.748,0.82,4.17,4.98,3.02,0.8,0.68,2.09,1.94,11.98,0.603,0.584,3.2,14.34,9.14,19.09,16.31,1.49,2.24,19.27,160.82,0.23,1.33,115.9,100.1,16.89
20,SG,193,100,19,NCAA,61,61,33,5.36,12.26,0.437,1.08,2.84,0.382,5.13,6.61,0.777,1.79,3.97,5.75,1.97,1.48,0.82,2.69,2.26,16.93,0.55,0.481,6.31,13.38,9.92,13.34,12.81,2.62,2.63,27.31,159.53,-2.95,1.38,109.4,98.6,20.34
21,SG,193,90,22,NCAA,142,97,27.9,4.27,9.92,0.43,2.05,5.39,0.38,3.47,4.16,0.834,0.54,2.63,3.17,3.04,1.04,0.1,2.09,1.69,14.06,0.591,0.533,2.28,10.17,6.42,19.62,12.44,2.15,0.34,24.22,164.42,1.21,1.42,123.2,102.3,20.45
22,SG,201,95,22,NCAA,123,87,24,4.25,8.93,0.476,0.64,1.82,0.353,2.87,4.18,0.687,1.12,4.34,5.46,2.07,0.98,0.24,2.18,1.92,12.02,0.551,0.512,5.66,21.67,13.71,18.61,14.95,2.37,1.11,27.39,151.58,-2.24,1.35,108.9,94.4,20.83
23,PG,183,84,21,NCAA,101,65,31.7,4.71,10.48,0.45,1.78,4.23,0.422,3.08,3.87,0.795,0.48,2.69,3.17,4.72,1.25,0.22,2.68,3.01,14.29,0.58,0.535,1.72,8.66,5.39,24.85,19.64,2.17,0.69,23.23,166.68,0.42,1.36,110,105.9,16.5
24,SG,191,82,19,GLEAGUE,4,0,22.7,6.5,15,0.433,2.5,5.25,0.476,1.75,2,0.875,0.75,2,2.75,1,0.25,0.5,3.5,3,17.25,0.543,0.517,3.55,9.22,6.42,7.38,15.89,0.53,1.55,34.71,178.45,-10.44,1.15,94,120.7,12.16
25,PF,211,111,21,NCAA,107,77,21,3.93,7.2,0.547,1.03,2.67,0.385,1.51,2.17,0.698,1.2,3.33,4.52,0.53,0.78,0.37,2.51,1.18,10.41,0.633,0.618,7.27,19.74,13.58,5.43,12.52,2.28,1.91,24.7,162.96,-4.22,1.45,117.4,97.3,22.13
26,PG,193,86,21,NCAA,71,68,28.7,4.17,8.69,0.48,2.24,5.13,0.437,2.3,2.83,0.811,0.54,2.45,2.99,4.06,0.76,0.2,2.06,1.52,12.87,0.641,0.609,2.15,9.21,5.8,25.65,13.16,1.52,0.81,19.8,172.75,4.14,1.48,131,98.7,19.84
27,PF,203,109,20,NCAA,61,40,25.7,4.79,8.11,0.59,0.03,0.49,0.067,1.51,2.79,0.541,2.7,5.97,8.67,1.43,0.74,2.51,2.02,1.74,11.11,0.589,0.592,11.98,24.2,18.36,11.51,15.55,1.68,10.29,21.45,119.77,-3.12,1.37,113.7,93.2,24.89
28,SG,198,95,21,NCAA,105,80,29.1,4.03,9.38,0.429,1.66,4.4,0.377,2.03,2.69,0.755,1.32,3.01,4.33,2.5,1.14,0.88,1.99,1.26,11.74,0.551,0.518,5.26,11.61,8.48,16.81,10.55,2.4,3.45,20.89,156.14,1.51,1.25,119.7,92.6,19.26
29,SG,206,98,19,GLEAGUE,48,46,31.4,6.67,14.65,0.455,2.15,5.88,0.365,3.48,4.44,0.784,1.12,5.71,6.83,3.54,0.94,0.31,2.46,2.96,19.5,0.587,0.528,3.63,17.51,10.75,16.77,15.13,1.33,0.72,24.42,160.45,-1.8,1.33,107.7,107.9,16.01
30,PF,203,111,20,NCAA,40,39,28.1,4,8.4,0.476,1.62,3.75,0.433,1.23,1.75,0.7,2.25,5.78,8.03,0.75,0.65,1.48,2.3,1,10.85,0.588,0.573,9.92,23,16.79,4.35,9.77,1.32,5.49,18.32,160.95,-1.78,1.29,123,95.8,19.62
31,PG,191,86,20,GLEAGUE,23,12,30.6,4.52,11.7,0.387,1.7,5.7,0.298,1.52,2.22,0.686,0.65,3.22,3.87,6,1.26,0.17,2.13,2.78,12.48,0.492,0.459,2.3,11.49,6.86,30.51,18.01,2.04,0.52,22.15,137.06,4.13,1.07,98,114.9,12.12
32,PG,185,88,22,NCAA,144,112,29.6,4.08,10.01,0.407,1.67,4.71,0.355,2.38,2.99,0.798,0.91,2.83,3.74,3.88,2.29,0.24,2.49,1.83,12.21,0.534,0.491,3.2,11.92,7.16,24.45,13.83,4.41,1,20.91,156.05,2.49,1.22,116,93.1,18.99
33,PG,185,86,21,NCAA,116,115,28.9,4.99,9.78,0.51,1.53,3.88,0.393,2.86,3.49,0.82,0.41,2.05,2.46,3.72,0.84,0.01,1.8,1.87,14.37,0.628,0.588,1.82,8.01,5.13,24.38,14.05,1.71,0.03,24.07,172.32,2.19,1.47,124.5,101.2,20.94
34,PG,185,84,23,NCAA,142,111,31.7,3.85,9.12,0.422,2.08,5.09,0.409,2.55,3.24,0.787,0.44,2.65,3.09,4.45,1.39,0.1,1.67,1.9,12.32,0.578,0.536,1.66,8.87,5.49,24.29,15.14,2.51,0.32,19.69,161.8,3.31,1.35,119.6,101,17.46
35,SF,198,91,21,NCAA,94,69,27.7,3.82,7.94,0.481,0.86,2.77,0.312,2.11,3.22,0.653,1.22,3.17,4.39,1.66,1.6,0.48,2.01,1.99,10.61,0.56,0.536,4.82,13.16,8.88,12.91,17.36,3.32,1.8,20.62,144.62,-3.21,1.34,104.3,102.3,16.4
37,SG,198,93,19,NCAA,37,37,33.9,4.78,11.54,0.415,2.62,6.51,0.402,2.3,2.62,0.876,0.84,3.41,4.24,1.41,1.16,0.14,1.68,1.03,14.49,0.567,0.528,2.89,10.27,6.83,6.76,7.44,1.94,0.4,19.46,169.33,-0.26,1.26,124.5,101.7,16.03
38,SG,191,95,22,NCAA,102,94,27.2,4.2,8.23,0.51,1.28,3.17,0.406,1.48,2.06,0.719,1.14,3.48,4.62,2.5,1.38,0.25,1.76,1.62,11.16,0.606,0.588,4.95,13.67,9.53,15.6,14.95,2.81,0.96,19.62,163.48,0.17,1.36,116.5,99.2,18.56
39,SG,203,82,18,GLEAGUE,33,31,28.4,4.61,10.18,0.452,1.21,3.27,0.37,2.21,2.7,0.82,1.85,4.45,6.3,2.73,1.21,1.06,3.12,2.85,12.67,0.557,0.512,6.7,17.12,11.75,13.67,20.04,1.99,3.4,20,164.3,-3.54,1.24,102.2,105.7,14.55
40,SF,206,103,20,GLEAGUE,13,12,26.3,4.46,9.92,0.45,1.23,4.62,0.267,0.92,1.46,0.632,1.46,4.85,6.31,2.85,1.15,1.15,3.46,2.62,11.23,0.531,0.512,5.47,17.21,11.49,16.02,19.84,1.98,3.3,20.15,134.79,-2.6,1.13,95.7,100.1,12.63
41,PF,203,97,19,NCAA,14,0,17,2.07,4.86,0.426,0,0.07,0,1.71,2.71,0.632,3.29,4.57,7.86,1,0.43,0.79,2.64,1.07,5.86,0.476,0.426,21.54,28.4,25.06,11.22,14.84,1.45,5.36,20.41,105.8,-2.38,1.21,110.4,95.8,20.76
42,SG,193,92,21,NCAA,52,46,32.6,4.08,9.23,0.442,0.94,2.98,0.316,2.58,3.67,0.702,1.4,4.77,6.17,3.5,1.42,0.63,2.42,2.12,11.67,0.532,0.493,5.16,16.83,11.12,20.63,16.16,2.64,2.12,20.87,145.94,0.7,1.26,109.8,95,17.95
43,SF,201,102,21,NCAA,44,40,28.2,3.5,8.36,0.418,1.27,3.3,0.386,2.07,2.84,0.728,1.93,4.61,6.55,1.18,0.86,0.8,1.98,1.95,10.34,0.532,0.495,8.34,17.84,13.35,8.2,16.75,1.79,2.88,20.78,153.27,-4.22,1.24,104.9,96.1,15.35
44,SG,193,84,18,INTERNATIONAL,43,20,17.1,1.93,4.77,0.405,0.51,2.07,0.247,1.09,1.56,0.701,0.4,1.65,2.05,2.12,1.02,0.02,2.93,2.05,5.47,0.501,0.459,2.97,11.68,7.46,22.03,27.29,3.3,0.14,20.84,135.36,-3.82,1.15,88.7,108.2,8.1
45,SG,196,92,19,NCAA,37,37,24.8,3.62,8.46,0.428,0.7,2.08,0.338,2.08,3.38,0.616,0.86,2.76,3.62,1.24,0.76,0.35,2.59,1.38,10.03,0.498,0.47,4.18,11.51,8.12,9.52,12.05,1.76,1.63,22.55,138.18,-2.22,1.19,104,102.2,13.4
46,SG,188,91,20,NCAA,36,25,27,2.81,6.42,0.437,0.58,2.06,0.284,2.14,3.03,0.706,1.39,3.33,4.72,3.47,1.92,1.03,2.25,1.78,8.33,0.53,0.483,5.96,13.68,9.9,22.53,18.46,4.03,3.86,17.72,142.74,1.98,1.3,110.8,99.2,18.07
47,SF,203,93,21,NCAA,136,70,22.6,3.1,7.25,0.428,1.74,4.26,0.409,0.74,0.99,0.746,0.68,1.82,2.5,1.49,0.71,0.2,1.67,1.07,8.68,0.563,0.548,3.64,8.55,6.25,11.54,12.21,1.82,0.91,19.34,158.36,-0.36,1.2,113.8,102.5,14.53
48,SF,203,104,22,NCAA,109,71,24.8,4.3,9.11,0.472,1.13,3.2,0.352,1.94,2.5,0.776,1.15,4.55,5.7,1.11,0.62,1.17,1.42,1.23,11.67,0.567,0.534,5.56,20.14,13.19,9.07,10.67,1.49,5.37,23.87,160.05,-2.01,1.28,114.3,94.2,21.56
49,PF,208,102,21,NCAA,104,71,27,4.77,8.93,0.534,0.12,0.41,0.302,2.7,3.9,0.692,1.84,4.47,6.31,1.16,0.71,1.62,2.51,1.73,12.37,0.573,0.541,7.84,18.06,13.09,8.33,13.83,1.49,6.16,22.87,152.84,-3.5,1.38,112.2,99.8,20.27
