Pos,HT,WT,Age,League,GS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,TOV%,STL%,BLK%,Total S %,PPR,ORtg,DRtg,Pick
G,193cm,86kg,22,NCAA,95,12.85,0.453,5.01,0.362,5.58,0.778,3.94,3.11,1.06,0.05,2.23,2.43,17.8,0.575,0.524,2.33,11.42,6.99,13.57,1.85,0.15,159.38,-1.03,112.2,109.4,42
G,188cm,82kg,22,NCAA,115,13.02,0.453,5.6,0.39,3.93,0.886,3.61,2.66,0.98,0.06,1.47,1.67,17.45,0.586,0.537,2.36,9.96,6.32,10.11,1.73,0.19,172.89,0.29,121.2,106.4,43
G,193cm,95kg,20,NCAA,78,7.56,0.372,2.38,0.367,4.65,0.777,2.7,3.77,0.77,0.22,2.39,2.19,10.1,0.517,0.43,2.43,8.13,5.44,18.32,1.66,0.79,151.54,1.16,109.8,96.9,44
G,193cm,86kg,22,NCAA,107,12.98,0.43,6.36,0.402,4.34,0.789,2.55,2.43,0.72,0.24,1.5,2.55,17.15,0.57,0.529,1.17,7.74,4.61,14.5,1.33,0.78,162.19,-2.86,106.7,110.7,45
SG,191cm,98kg,22,NCAA,83,7.73,0.461,2.51,0.314,2.46,0.746,3.01,1.5,1.12,0.4,2.04,1.28,9.76,0.548,0.512,1.9,11.57,6.82,12.55,2.61,1.72,152.14,-1.06,108.1,99.4,46
C,208cm,115kg,22,INTERNATIONAL,18,5.27,0.647,0.05,0.5,4.52,0.663,6.07,0.5,0.45,0.75,1.93,1.11,9.84,0.677,0.649,15.14,27.8,21.8,13.29,1.37,4.31,180.99,-4.4,128.6,99,47
C,213cm,116kg,19,NCAA,18,3.85,0.537,0,0,2.94,0.559,4.27,0.51,0.29,0.76,1.9,0.86,5.77,0.55,0.537,15.05,17.25,16.22,14.08,1.2,5.2,109.56,-3.47,115.4,90.5,48
F,206cm,100kg,22,NCAA,119,8.15,0.518,1.55,0.281,5.71,0.772,6.44,1.36,1.06,0.61,1.56,1.5,13.29,0.612,0.545,8.35,17.27,12.87,12.13,2.25,2.36,157.16,-2.1,124.6,97.1,49
GF,201cm,81kg,21,INTERNATIONAL,1,2.81,0.408,1.93,0.327,0.33,0.556,1.07,0.37,0.41,0,0.74,0.26,3.11,0.525,0.52,3.46,11.38,7.72,8.05,2.57,0,129.04,-0.14,107.4,99.3,50
G,193cm,84kg,21,NCAA,67,12.69,0.463,7.17,0.432,4.44,0.847,3.49,2.35,1.02,0.19,1.93,1.8,18.62,0.629,0.585,2.13,10.33,6.28,10.83,1.89,0.61,174.25,-0.72,125.2,110.5,51
C,218cm,132kg,19,GLEAGUE,2,1.44,0.41,0,0,0.63,0.588,1.41,0.11,0.11,0.07,1.59,0.48,1.56,0.452,0.41,8.34,13.87,11.15,21.86,0.76,0.83,99.85,-5.79,85.8,111.1,52
SF,196cm,91kg,23,NCAA,78,6.55,0.477,0.84,0.193,2.77,0.681,5.23,2.3,1.52,1.33,2.83,1.67,8.29,0.527,0.489,4.84,15.33,10.14,17.51,3.21,5,135.03,-0.48,104.3,95.7,53
SF,203cm,98kg,22,INTERNATIONAL,18,4.17,0.428,2.3,0.341,0.83,0.74,3.37,0.5,0.37,0.07,0.78,0.57,4.97,0.548,0.522,10.4,17.92,14.05,11.11,1.31,0.48,150.86,-1.54,118,111.8,54
FC,206cm,110kg,23,NCAA,80,6.92,0.555,0.42,0.213,3.37,0.666,7.94,0.24,0.44,1.78,2.48,1.87,10.01,0.587,0.561,13.48,20.77,17.18,18.03,0.99,6.89,143.32,-6.38,109.3,96.3,55
F,198cm,104kg,22,NCAA,120,7.79,0.559,0.07,0,2.44,0.558,6.92,1.39,1.25,1.09,1.63,1.69,10.07,0.562,0.559,11.77,18.53,15.32,15.9,2.91,4.7,111.71,-2.95,110.3,89.5,56
PG,196cm,91kg,21,INTERNATIONAL,28,6.57,0.413,2.27,0.306,1.67,0.646,2.31,3.16,0.84,0,1.82,1.76,7.2,0.493,0.466,1.12,12.44,6.89,19.37,2.19,0,136.57,1.73,97.6,112.9,57
GF,198cm,91kg,21,NCAA,67,5.77,0.462,0.74,0.266,2.25,0.544,4.38,2.74,1.2,0.34,1.96,1.68,6.75,0.494,0.479,7.01,14.21,10.64,19.75,3.06,1.59,127.13,0.61,102.1,96.2,58
F,208cm,95kg,20,INTERNATIONAL,7,3.96,0.421,2.1,0.337,1.48,0.592,2.83,0.42,0.54,0.52,1.88,0.54,4.92,0.533,0.511,9.66,17.56,13.63,10.52,2.38,4.38,134.92,-2.14,110.6,93.3,59
PF,203cm,91kg,22,INTERNATIONAL,20,5.48,0.54,1.44,0.389,2.76,0.71,4.28,1.64,0.68,0.52,1.88,1.52,8.44,0.63,0.591,6.88,22.29,14.63,18.5,1.92,2.96,163.92,-2.22,112.9,92.5,60
PG,185cm,82kg,22,NCAA,99,8.62,0.433,4.4,0.375,2.18,0.856,2.65,3.56,1.06,0.06,1.85,1.41,10.99,0.569,0.529,1.59,9.21,5.51,12.76,2.23,0.21,166.41,3.39,120.8,101,61
GF,196cm,102kg,21,NCAA,102,10.22,0.432,4.04,0.354,4.61,0.691,5.74,1.42,0.79,0.21,2.14,1.36,13.44,0.542,0.502,8.77,17.71,12.91,9.9,1.85,0.94,147.73,-1.62,115.8,94.7,61
SF,198cm,103kg,22,NCAA,101,6.44,0.476,2.72,0.398,2.99,0.751,5.64,2.99,1.19,0.34,2.42,1.93,9.46,0.602,0.56,6.63,16.85,11.85,19.67,2.54,1.28,162.52,0.23,117.2,96.9,61
PG,191cm,84kg,22,NCAA,142,12.32,0.428,5.46,0.387,4.75,0.806,3.28,2.47,1.15,0.08,2.67,2.24,16.49,0.566,0.514,1.85,9.6,5.74,13.3,2.05,0.24,162.07,-1.77,112.7,100.1,61
FC,203cm,120kg,22,NCAA,97,11.47,0.492,0.03,0,5.74,0.706,9.97,1.04,0.96,1.9,2.75,1.73,15.33,0.54,0.492,16.2,27.33,21.93,10.89,2.24,8.2,119.72,-4.09,113.5,90.8,61
SF,198cm,92kg,22,NCAA,93,6.65,0.444,2.54,0.37,2.85,0.765,4.74,1.46,0.82,1.29,2.46,1.56,9.03,0.564,0.515,3.37,19.2,11.19,16.33,1.97,5.57,157.89,-2.35,107.2,98.6,61
G,188cm,77kg,22,NCAA,65,5.47,0.426,1.17,0.27,2.34,0.774,3.32,2.98,2.94,0.2,2.2,1.46,6.79,0.516,0.455,3.68,13.23,8.1,18.12,7.43,0.97,147.06,2.24,108.8,83.9,61
G,203cm,88kg,22,GLEAGUE,5,7.92,0.534,4.23,0.436,2.08,0.889,6.46,4.08,1.62,0.77,2.23,2.23,12.15,0.688,0.65,4.46,20.54,12.49,20.16,2.71,2.25,185.92,1.7,121.7,106.9,61
