Pos,HT,WT,Age,League,GS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,TOV%,STL%,BLK%,Total S %,PPR,ORtg,DRtg,Pick
G,183cm,84kg,22,NCAA,80,13.26,0.474,1.92,0.241,3.2,0.577,4.76,2.58,2.38,0.2,2.23,2.13,14.89,0.504,0.492,6.8,14.98,10.69,12.59,5.41,1.01,129.22,-1.61,104.5,88.1,61
F,211cm,109kg,21,NCAA,64,9.16,0.528,2.69,0.33,2.84,0.721,6.93,0.36,0.34,4.23,2.13,1.86,12.62,0.6,0.577,-,-,-,15.07,-,-,157.99,-,-,-,61
SF,196cm,84kg,22,NCAA,105,9.4,0.422,6.21,0.382,2.06,0.704,4.51,2.01,0.82,0.47,1.5,2.13,11.75,0.566,0.548,2.93,12.7,7.92,17.03,1.49,1.54,150.74,-2.5,106.4,101.3,61
F,203cm,90kg,23,NCAA,110,8.51,0.378,4.01,0.365,2.04,0.757,5.19,1.49,0.71,0.78,2.03,2.13,9.45,0.498,0.464,4.09,15.32,9.85,18.31,1.36,2.96,150.01,-3.8,94.3,103.4,61
GF,198cm,93kg,22,NCAA,70,4.63,0.484,1.52,0.318,1.07,0.653,3.28,0.64,0.36,1.18,1.68,0.9,5.66,0.551,0.536,6.02,12.4,9.33,14.86,1.06,6.74,145.56,-2.41,106.4,96.5,61
SF,198cm,98kg,21,NCAA,52,8.09,0.454,2.15,0.285,3.26,0.732,5.35,1.4,1.34,0.51,2.39,1.79,10.35,0.537,0.492,6.78,17.53,12.36,15.65,3.09,2.56,147.11,-3.45,104.2,93.7,61
SF,198cm,91kg,23,NCAA,75,6.18,0.443,4.36,0.427,1.4,0.87,3.33,0.78,0.74,0.11,2.25,0.51,8.55,0.624,0.593,3.62,13.09,8.43,6.96,1.88,0.59,173.93,0.02,128.6,96,61
SG,188cm,84kg,23,NCAA,99,9.3,0.414,4.22,0.34,2.08,0.725,3.64,2.65,1.49,0.18,1.47,1.69,10.64,0.517,0.491,2.85,11.58,7.18,14.14,2.96,0.69,147.89,0.26,104.8,101.3,61
PF,203cm,109kg,22,NCAA,100,7.18,0.481,2.49,0.362,1.91,0.73,5.21,1.62,0.66,0.77,2.19,1.54,9.2,0.569,0.543,7.95,16.25,12.19,16,1.57,3.71,157.2,-1.9,110.1,95.3,61
PG,188cm,74kg,19,NCAA,22,11.04,0.426,5.25,0.341,2.21,0.811,3.96,2.38,1.08,0.58,1.21,2,13,0.538,0.508,4.5,10.58,7.49,14.19,2.04,1.98,157.9,-1.36,108,104.9,61
GF,196cm,104kg,21,NCAA,127,14.2,0.536,3.54,0.341,4.56,0.725,9.83,1.35,1.02,1.04,2.05,2.17,19.74,0.603,0.578,13.21,20.55,16.72,11.68,1.69,3.45,160.22,-3.64,122.7,99.2,61
SG,196cm,88kg,22,NCAA,127,10.26,0.424,3.91,0.338,4.5,0.776,4.31,3.93,1.03,0.35,2.46,2.43,13.51,0.545,0.488,3.41,11.66,7.64,16.36,1.82,1.18,153.79,0.6,108.9,104.4,61
C,208cm,118kg,22,NCAA,97,6.74,0.573,0.04,0.25,3.38,0.58,5.42,0.64,0.47,1.08,3.32,2.11,9.7,0.581,0.574,12.19,15.47,13.88,20.21,1.21,5.4,140.37,-7.65,104,97.7,61
SF,196cm,97kg,23,NCAA,82,7.59,0.38,3.99,0.361,2.25,0.785,2,1.61,0.77,0.22,2.36,1.73,8.97,0.518,0.475,1.54,7.74,4.73,16.68,1.8,1.02,152.62,-2.7,100.9,102,61
SF,201cm,95kg,20,NCAA,47,7.2,0.408,2.3,0.365,1.58,0.633,4.92,1.38,1.3,0.72,2.84,1.88,7.72,0.486,0.467,5.47,12.63,8.99,19.12,2.45,2.88,140.65,-3.17,93.1,99,61
FC,203cm,103kg,22,NCAA,87,8.55,0.491,1.02,0.23,2.57,0.604,5.54,1.13,0.77,0.98,2.17,1.68,10.18,0.521,0.505,7.94,17.78,13.01,14.64,1.78,4.23,132.46,-3.74,100.2,96.5,61
G,206cm,86kg,23,NCAA,80,10.47,0.443,5,0.365,3.81,0.821,3.89,1.9,0.49,0.27,1.77,2.12,14.22,0.579,0.53,2.79,14.25,8.53,14.75,1.01,1.12,162.87,-3.08,109.5,99.4,61
SF,203cm,97kg,19,GLEAGUE,0,5,0.2,3,0.333,2,0,6,1,0,0,2,3,3,0.255,0.3,6.93,23.32,16.72,33.78,0,0,53.33,-11.36,51.1,104.4,61
PF,206cm,91kg,25,NCAA,65,7.94,0.41,3.6,0.304,2.32,0.701,3.72,0.88,0.36,1.29,2.31,1.61,9.24,0.511,0.479,5.22,13.53,9.37,15.1,0.92,6.61,141.51,-4.54,98.6,100.3,61
PF,206cm,107kg,22,NCAA,57,6.64,0.507,0.76,0.264,2.05,0.636,4.25,0.93,0.34,0.52,2.72,1.72,8.24,0.541,0.522,9.97,12.78,11.39,18.38,0.9,2.52,140.69,-5.11,102.3,101,61
PG,183cm,79kg,23,NCAA,99,12.32,0.419,5.67,0.378,3.13,0.813,3.14,4.5,1.31,0.12,1.63,2.7,15.01,0.544,0.506,1.89,9.72,5.88,16.38,2.47,0.43,161.02,0.99,108.1,102.3,61
G,188cm,82kg,23,NCAA,128,9.35,0.429,3.58,0.347,2.59,0.795,2.72,3.72,1.11,0.06,2.52,2.15,11.31,0.535,0.495,2.3,7.2,4.77,16.88,2.01,0.2,157.03,1.04,107.2,101.9,61
C,208cm,116kg,23,NCAA,67,9.21,0.465,0.02,0,6.06,0.576,9.29,1.5,0.72,0.76,2.63,2.33,12.05,0.498,0.465,12.21,28.61,19.95,16.14,1.59,3.29,104.05,-5.08,101.9,94.9,61
C,216cm,109kg,22,NCAA,43,5.17,0.588,1.64,0.386,1.36,0.679,4.54,0.59,0.33,1.64,1.99,0.85,7.63,0.657,0.649,9.13,21.41,15.67,12.78,1.18,11.91,165.25,-2.85,123.1,84.1,61
SF,196cm,100kg,23,NCAA,82,6.53,0.509,1.84,0.304,1.92,0.592,4.36,1.45,0.68,0.17,1.7,1.32,8.34,0.56,0.552,6.11,15.11,10.83,15.06,1.69,0.83,140.43,-1.53,108.1,101.8,61
PG,185cm,84kg,23,NCAA,106,12.47,0.447,3.2,0.325,4.64,0.79,4.75,4.69,1.38,0.14,1.74,2.19,15.86,0.54,0.489,2.19,14.81,8.46,13.01,2.55,0.56,156.22,3.01,114.4,100.1,61
F,198cm,82kg,21,NCAA,80,11.59,0.407,5.8,0.349,3.99,0.697,4.01,2.06,1.25,0.17,2.02,2.07,14.23,0.528,0.494,2.71,12.28,7.29,13.33,2.27,0.67,145.23,-2.21,105.1,102.1,61
SG,196cm,100kg,23,NCAA,94,10.93,0.425,5.08,0.366,4.65,0.813,4.24,1.25,0.95,0.11,2.7,1.43,14.93,0.568,0.51,4.72,12.14,8.5,9.84,1.88,0.44,160.43,-2.07,114,105.7,61
PG,196cm,91kg,22,NCAA,60,8.41,0.375,3.39,0.314,2.82,0.724,3.12,2.45,0.77,0.26,1.34,2.21,9.42,0.483,0.439,1.33,12.91,7.19,18.48,1.77,1.12,141.3,-2.31,93.5,102.5,61
GF,196cm,102kg,19,GLEAGUE,5,8.83,0.371,2.33,0.167,1.78,0.688,5.33,5.56,1.17,0.22,1.89,3.06,8.78,0.456,0.393,4.28,16.86,10.66,24.11,2.09,0.77,122.52,2.37,89.7,110.5,61
C,208cm,113kg,23,NCAA,39,5.52,0.496,2.01,0.381,1.7,0.794,4.31,0.61,0.33,0.59,1.86,0.96,7.59,0.6,0.565,10.4,20.37,15.54,13.21,1.25,4.16,167.07,-3.63,116.3,95.8,61
PG,196cm,93kg,23,NCAA,67,7.79,0.421,3.68,0.347,3.48,0.844,3.8,2.57,0.66,0.28,1.47,1.7,10.77,0.571,0.503,2.44,14.29,8.56,15.3,1.55,1.27,161.28,0.02,113.3,98.7,61
FC,213cm,110kg,22,NCAA,55,6.04,0.476,0.67,0.311,3.43,0.74,5.69,0.75,0.38,1.01,2.9,1.52,8.49,0.554,0.493,10.11,18.91,14.48,16.53,1,5.04,152.68,-4.6,108.5,102.8,61
G,193cm,93kg,22,NCAA,76,11.29,0.414,4.81,0.351,2.37,0.836,3.47,3.45,1.2,0.13,1.7,2.22,13.02,0.524,0.489,1.51,9.78,5.77,15.14,2.05,0.44,160.19,0.25,108.1,105.4,61
SG,191cm,91kg,23,NCAA,87,8.14,0.459,2.88,0.373,3.25,0.865,3.48,3.76,1.74,0.4,3.01,2.35,11.36,0.587,0.525,2.59,11.05,6.92,19.5,3.43,1.61,169.76,0.55,110.9,96.9,61
SG,198cm,93kg,22,NCAA,50,10.45,0.425,3.59,0.339,2.95,0.772,2.97,2.34,1.19,0.22,1.89,2.28,12.38,0.522,0.483,1.41,8.9,5.32,16.14,2.19,0.76,153.61,-2.3,103.3,102.5,61
PF,198cm,100kg,24,NCAA,60,9.61,0.451,3.2,0.306,3.99,0.593,5.85,1.8,1.44,0.91,2,2.28,12.01,0.522,0.502,6.24,18.11,12.12,16.54,2.97,3.64,134.96,-3.89,99.5,97.2,61
PG,193cm,88kg,24,NCAA,123,11.7,0.442,5.62,0.408,3.38,0.861,4.38,2.22,1.13,0.22,1.32,1.34,15.54,0.584,0.54,2.97,12.66,7.81,9.18,1.96,0.75,171.06,0.4,121.2,99.3,61
SG,196cm,91kg,23,NCAA,25,5.79,0.465,3.15,0.378,1.47,0.776,2.01,0.95,0.27,0.16,0.95,0.8,7.71,0.594,0.567,2.96,10.4,6.93,10.98,0.9,0.95,161.79,-0.97,115.6,100.3,61
C,216cm,113kg,19,NCAA,35,12.89,0.612,1,0.343,5.46,0.733,11.57,1.63,0.57,1.89,2.31,1.97,20.11,0.65,0.625,13.47,28.2,21.39,11.3,0.99,6.07,168.78,-2.69,130.3,97.5,1
PF,211cm,109kg,19,NCAA,32,13.33,0.614,1.76,0.397,6.33,0.627,11.09,1.52,0.82,0.88,1.82,2.27,21.03,0.643,0.64,13.73,21.38,17.8,12.21,1.36,2.57,163.7,-3.66,128.1,97.5,2
SF,201cm,104kg,19,INTERNATIONAL,54,9.84,0.45,4.77,0.31,4.88,0.789,5.3,4.52,1.11,0.37,1.64,2.18,14.18,0.592,0.525,4.96,20.95,13.3,15.38,2.42,1.51,154.95,3.39,120.7,105.9,3
PF,211cm,110kg,18,NCAA,34,6.63,0.513,2.74,0.396,3.8,0.797,5.8,1.11,0.6,3,3.2,1.77,10.91,0.647,0.595,8.76,19.74,14.94,17.36,1.61,14.2,170.58,-4.84,120.7,85.8,4
PG,185cm,82kg,19,NCAA,32,19.31,0.422,10.25,0.36,8.56,0.861,3.91,8.72,1.69,0.25,1.78,5.22,27.38,0.585,0.518,1.34,9.87,5.76,18.25,2.5,0.67,164.34,1.53,114.7,106.9,5
C,213cm,113kg,20,NCAA,29,9,0.541,1.7,0.275,3.97,0.681,10.53,0.5,0.77,3.7,2.53,1.53,12.9,0.593,0.567,12.17,28.33,20.19,12.35,1.52,13.21,149.59,-4.15,118.4,88.3,6
PF,208cm,122kg,19,NCAA,37,8.62,0.561,1.24,0.413,4.54,0.738,9.05,2,0.81,2.05,2.84,2.03,13.54,0.628,0.591,12.79,23.15,18.32,15.83,1.7,7.61,171.23,-2.55,125.3,92,7
PG,185cm,87kg,19,NCAA,32,13.27,0.447,3.97,0.336,7.64,0.778,3.76,3.61,0.85,0.09,2.45,2.79,19.15,0.567,0.498,4.05,9.78,7.05,14.16,1.61,0.33,156.11,-1.28,113.1,104.8,8
SF,206cm,98kg,18,NCAA,37,11.89,0.445,4.51,0.341,4.43,0.774,5.41,1.43,0.84,0.27,2.22,2.3,15.57,0.556,0.51,3.3,14.45,9.28,14.1,1.49,0.96,156.12,-4.16,109.5,101.8,9
SG,201cm,95kg,21,NCAA,73,7.53,0.525,3.69,0.4,2.28,0.845,4.34,1.58,1.41,0.87,2.22,1.07,11.3,0.656,0.623,5.36,13.25,9.58,11.04,3.04,3.57,176.94,-0.07,131,94.1,10
PG,198cm,82kg,19,NCAA,24,10.19,0.485,1.54,0.404,4.73,0.817,4.14,5.11,1.65,0.49,1.68,2.7,14.38,0.578,0.516,3.17,9.96,6.82,17.85,2.82,1.66,170.61,2.09,116.7,100.8,11
SF,201cm,102kg,20,NCAA,60,13.24,0.47,5.47,0.375,3.24,0.776,7.56,2.42,0.65,1.11,1.69,2.15,17.02,0.576,0.548,5.46,20.32,13.66,12.67,1.2,3.6,162.09,-1.73,114,95.9,12
SG,193cm,86kg,21,NCAA,89,13.88,0.45,4.69,0.374,4.54,0.756,3.81,3.27,1.3,0.27,2.5,2.88,17.68,0.551,0.513,1.67,11.06,6.31,15.21,2.14,0.85,157.99,-2,104.6,106.2,13
PF,208cm,99kg,19,NCAA,1,10,0.333,3.33,0.3,3,0.778,6.67,0.33,1,0.33,2,1,10,0.438,0.383,8.79,31.78,20.87,8.05,3.39,2.12,141.11,-4.61,91.7,83.5,14
SF,198cm,98kg,18,NCAA,35,9.2,0.444,3.14,0.291,3,0.743,6.2,3.17,1.57,0.2,2.23,2.46,11.31,0.532,0.494,5.88,18.04,11.99,18.78,2.89,0.76,147.79,-1.1,105.8,101,15
SG,193cm,90kg,19,NCAA,21,7.49,0.556,1.08,0.45,3.43,0.717,5,1.78,1.14,1.14,1.81,1.11,11.27,0.618,0.588,9.54,11.12,10.35,10.84,2.33,4.81,172.25,0.29,128.9,94.2,16
SG,193cm,92kg,21,NCAA,12,7.6,0.469,4.05,0.378,2.24,0.705,4.04,2.4,0.93,0.21,1.78,1.62,10.24,0.591,0.57,5.5,13,9.49,15.78,2.15,0.92,155.22,-0.1,117.3,97.7,17
SG,196cm,93kg,19,NCAA,18,9.94,0.415,5.06,0.346,2.03,0.738,2.59,1.91,0.94,0.47,1.59,1.16,11.5,0.527,0.503,1.73,9.19,5.49,9.59,1.99,1.84,149.92,0.42,109.3,101.7,18
SF,201cm,86kg,19,NCAA,65,9.02,0.466,5.38,0.394,1.95,0.748,4.98,3.02,0.8,0.68,2.09,1.94,11.98,0.603,0.584,3.2,14.34,9.14,16.31,1.49,2.24,160.82,0.23,115.9,100.1,19
SG,193cm,100kg,19,NCAA,61,12.26,0.437,2.84,0.382,6.61,0.777,5.75,1.97,1.48,0.82,2.69,2.26,16.93,0.55,0.481,6.31,13.38,9.92,12.81,2.62,2.63,159.53,-2.95,109.4,98.6,20
SG,193cm,90kg,22,NCAA,97,9.92,0.43,5.39,0.38,4.16,0.834,3.17,3.04,1.04,0.1,2.09,1.69,14.06,0.591,0.533,2.28,10.17,6.42,12.44,2.15,0.34,164.42,1.21,123.2,102.3,21
SG,201cm,95kg,22,NCAA,87,8.93,0.476,1.82,0.353,4.18,0.687,5.46,2.07,0.98,0.24,2.18,1.92,12.02,0.551,0.512,5.66,21.67,13.71,14.95,2.37,1.11,151.58,-2.24,108.9,94.4,22
PG,183cm,84kg,21,NCAA,65,10.48,0.45,4.23,0.422,3.87,0.795,3.17,4.72,1.25,0.22,2.68,3.01,14.29,0.58,0.535,1.72,8.66,5.39,19.64,2.17,0.69,166.68,0.42,110,105.9,23
SG,191cm,82kg,19,GLEAGUE,0,15,0.433,5.25,0.476,2,0.875,2.75,1,0.25,0.5,3.5,3,17.25,0.543,0.517,3.55,9.22,6.42,15.89,0.53,1.55,178.45,-10.44,94,120.7,24
PF,211cm,111kg,21,NCAA,77,7.2,0.547,2.67,0.385,2.17,0.698,4.52,0.53,0.78,0.37,2.51,1.18,10.41,0.633,0.618,7.27,19.74,13.58,12.52,2.28,1.91,162.96,-4.22,117.4,97.3,25
PG,193cm,86kg,21,NCAA,68,8.69,0.48,5.13,0.437,2.83,0.811,2.99,4.06,0.76,0.2,2.06,1.52,12.87,0.641,0.609,2.15,9.21,5.8,13.16,1.52,0.81,172.75,4.14,131,98.7,26
PF,203cm,109kg,20,NCAA,40,8.11,0.59,0.49,0.067,2.79,0.541,8.67,1.43,0.74,2.51,2.02,1.74,11.11,0.589,0.592,11.98,24.2,18.36,15.55,1.68,10.29,119.77,-3.12,113.7,93.2,27
SG,198cm,95kg,21,NCAA,80,9.38,0.429,4.4,0.377,2.69,0.755,4.33,2.5,1.14,0.88,1.99,1.26,11.74,0.551,0.518,5.26,11.61,8.48,10.55,2.4,3.45,156.14,1.51,119.7,92.6,28
SG,206cm,98kg,19,GLEAGUE,46,14.65,0.455,5.88,0.365,4.44,0.784,6.83,3.54,0.94,0.31,2.46,2.96,19.5,0.587,0.528,3.63,17.51,10.75,15.13,1.33,0.72,160.45,-1.8,107.7,107.9,29
PF,203cm,111kg,20,NCAA,39,8.4,0.476,3.75,0.433,1.75,0.7,8.03,0.75,0.65,1.48,2.3,1,10.85,0.588,0.573,9.92,23,16.79,9.77,1.32,5.49,160.95,-1.78,123,95.8,30
PG,191cm,86kg,20,GLEAGUE,12,11.7,0.387,5.7,0.298,2.22,0.686,3.87,6,1.26,0.17,2.13,2.78,12.48,0.492,0.459,2.3,11.49,6.86,18.01,2.04,0.52,137.06,4.13,98,114.9,31
PG,185cm,88kg,22,NCAA,112,10.01,0.407,4.71,0.355,2.99,0.798,3.74,3.88,2.29,0.24,2.49,1.83,12.21,0.534,0.491,3.2,11.92,7.16,13.83,4.41,1,156.05,2.49,116,93.1,32
PG,185cm,86kg,21,NCAA,115,9.78,0.51,3.88,0.393,3.49,0.82,2.46,3.72,0.84,0.01,1.8,1.87,14.37,0.628,0.588,1.82,8.01,5.13,14.05,1.71,0.03,172.32,2.19,124.5,101.2,33
PG,185cm,84kg,23,NCAA,111,9.12,0.422,5.09,0.409,3.24,0.787,3.09,4.45,1.39,0.1,1.67,1.9,12.32,0.578,0.536,1.66,8.87,5.49,15.14,2.51,0.32,161.8,3.31,119.6,101,34
SF,198cm,91kg,21,NCAA,69,7.94,0.481,2.77,0.312,3.22,0.653,4.39,1.66,1.6,0.48,2.01,1.99,10.61,0.56,0.536,4.82,13.16,8.88,17.36,3.32,1.8,144.62,-3.21,104.3,102.3,35
SG,198cm,93kg,19,NCAA,37,11.54,0.415,6.51,0.402,2.62,0.876,4.24,1.41,1.16,0.14,1.68,1.03,14.49,0.567,0.528,2.89,10.27,6.83,7.44,1.94,0.4,169.33,-0.26,124.5,101.7,37
SG,191cm,95kg,22,NCAA,94,8.23,0.51,3.17,0.406,2.06,0.719,4.62,2.5,1.38,0.25,1.76,1.62,11.16,0.606,0.588,4.95,13.67,9.53,14.95,2.81,0.96,163.48,0.17,116.5,99.2,38
SG,203cm,82kg,18,GLEAGUE,31,10.18,0.452,3.27,0.37,2.7,0.82,6.3,2.73,1.21,1.06,3.12,2.85,12.67,0.557,0.512,6.7,17.12,11.75,20.04,1.99,3.4,164.3,-3.54,102.2,105.7,39
SF,206cm,103kg,20,GLEAGUE,12,9.92,0.45,4.62,0.267,1.46,0.632,6.31,2.85,1.15,1.15,3.46,2.62,11.23,0.531,0.512,5.47,17.21,11.49,19.84,1.98,3.3,134.79,-2.6,95.7,100.1,40
PF,203cm,97kg,19,NCAA,0,4.86,0.426,0.07,0,2.71,0.632,7.86,1,0.43,0.79,2.64,1.07,5.86,0.476,0.426,21.54,28.4,25.06,14.84,1.45,5.36,105.8,-2.38,110.4,95.8,41
SG,193cm,92kg,21,NCAA,46,9.23,0.442,2.98,0.316,3.67,0.702,6.17,3.5,1.42,0.63,2.42,2.12,11.67,0.532,0.493,5.16,16.83,11.12,16.16,2.64,2.12,145.94,0.7,109.8,95,42
SF,201cm,102kg,21,NCAA,40,8.36,0.418,3.3,0.386,2.84,0.728,6.55,1.18,0.86,0.8,1.98,1.95,10.34,0.532,0.495,8.34,17.84,13.35,16.75,1.79,2.88,153.27,-4.22,104.9,96.1,43
SG,193cm,84kg,18,INTERNATIONAL,20,4.77,0.405,2.07,0.247,1.56,0.701,2.05,2.12,1.02,0.02,2.93,2.05,5.47,0.501,0.459,2.97,11.68,7.46,27.29,3.3,0.14,135.36,-3.82,88.7,108.2,44
SG,196cm,92kg,19,NCAA,37,8.46,0.428,2.08,0.338,3.38,0.616,3.62,1.24,0.76,0.35,2.59,1.38,10.03,0.498,0.47,4.18,11.51,8.12,12.05,1.76,1.63,138.18,-2.22,104,102.2,45
SG,188cm,91kg,20,NCAA,25,6.42,0.437,2.06,0.284,3.03,0.706,4.72,3.47,1.92,1.03,2.25,1.78,8.33,0.53,0.483,5.96,13.68,9.9,18.46,4.03,3.86,142.74,1.98,110.8,99.2,46
SF,203cm,93kg,21,NCAA,70,7.25,0.428,4.26,0.409,0.99,0.746,2.5,1.49,0.71,0.2,1.67,1.07,8.68,0.563,0.548,3.64,8.55,6.25,12.21,1.82,0.91,158.36,-0.36,113.8,102.5,47
SF,203cm,104kg,22,NCAA,71,9.11,0.472,3.2,0.352,2.5,0.776,5.7,1.11,0.62,1.17,1.42,1.23,11.67,0.567,0.534,5.56,20.14,13.19,10.67,1.49,5.37,160.05,-2.01,114.3,94.2,48
PF,208cm,102kg,21,NCAA,71,8.93,0.534,0.41,0.302,3.9,0.692,6.31,1.16,0.71,1.62,2.51,1.73,12.37,0.573,0.541,7.84,18.06,13.09,13.83,1.49,6.16,152.84,-3.5,112.2,99.8,49
SF,201cm,96kg,22,NCAA,66,11.3,0.457,3.77,0.325,4.64,0.716,11.14,2.38,0.53,0.3,2.3,2.27,14.88,0.551,0.511,12.24,29.94,21.07,14.4,1.04,1.1,149.81,-2.36,114.3,97.9,50
PG,196cm,91kg,20,NCAA,70,13.91,0.396,4.37,0.395,4.87,0.786,4.87,4.64,0.74,0.29,2.01,2.44,16.59,0.511,0.458,2.61,13.69,8.12,13.08,1.25,0.88,157.77,1.92,107.3,102.5,51
SF,203cm,102kg,22,NCAA,126,9.01,0.473,3.2,0.392,2.53,0.822,5.64,2.92,0.49,0.46,2.01,1.72,11.87,0.581,0.543,8.38,14.15,11.46,14.39,1.02,1.66,168.81,0.81,119.5,98.3,52
SG,196cm,98kg,22,NCAA,89,5.69,0.419,2.31,0.389,1.54,0.807,3.18,2.06,0.57,0.16,1.43,0.9,6.91,0.538,0.498,1.91,14.67,8.52,12.28,1.57,0.86,161.46,2.26,112.5,93.5,53
SG,196cm,98kg,21,NCAA,80,9.87,0.452,5.11,0.427,2.91,0.791,3.86,3.87,1.14,0.38,1.55,1.82,13.4,0.595,0.562,1.57,11.16,6.6,13.89,2.02,1.41,166.92,2.37,122.7,97.3,54
SF,208cm,102kg,20,GLEAGUE,1,10.75,0.488,5.5,0.409,1.75,0.857,5,1.25,0.75,0.25,2.25,1.75,14.5,0.629,0.593,1.26,20.62,11.68,13.19,1.47,1.02,175.46,-3.69,108.3,116.1,55
PF,208cm,98kg,21,NCAA,49,5.96,0.557,0.25,0.24,2.47,0.579,6.3,0.89,1.04,1.11,2.61,1.31,8.13,0.57,0.562,11.92,20.22,16.15,15.52,2.8,5.59,137.6,-3.37,113.7,90.2,56
PF,206cm,104kg,21,NCAA,86,12.49,0.439,5.49,0.323,3.59,0.768,8.02,1.88,0.99,0.48,1.87,2.05,15.5,0.546,0.51,7.61,23.01,15.49,12.63,1.99,2.09,153.03,-2.75,110.9,94.1,57
C,213cm,116kg,22,NCAA,94,7.5,0.537,0.86,0.407,1.31,0.798,7.84,0.78,0.42,1.08,2.51,0.68,9.45,0.582,0.561,10.71,23.01,17.11,7.74,0.94,4.56,174.21,-0.63,124.5,99.9,58
SF,198cm,100kg,24,NCAA,88,7.88,0.444,3.55,0.401,2.43,0.731,5.36,0.69,0.39,0.29,1.76,1.54,10.19,0.564,0.534,7.26,19.13,13.29,14.59,1,1.37,157.54,-4.71,109,102.4,59
PF,208cm,91kg,20,NCAA,6,3.48,0.574,0.52,0.133,2.21,0.516,2.86,0.45,0.24,1.07,2.28,1.34,5.21,0.575,0.584,7.34,16.91,12.28,22.89,0.96,8.45,122.32,-7.29,95.8,105,60
PG,180cm,79kg,22,NCAA,65,6.32,0.392,2.86,0.327,1.99,0.747,3.18,4.11,1.37,0.05,2.07,1.6,7.37,0.508,0.466,1.76,12.57,7.08,18.09,3.22,0.21,146.65,4.56,108.2,96.1,61
SF,198cm,102kg,23,NCAA,136,7.43,0.525,1.01,0.383,3.34,0.698,8.14,2.01,1.17,1.29,1.96,1.13,10.52,0.583,0.551,12.59,20.13,16.45,11.13,2.54,5.15,160.59,0.78,127.3,87.3,61
PG,183cm,102kg,22,NCAA,109,11.33,0.427,6.23,0.394,6.27,0.838,3.38,5.36,1.55,0.2,2.65,2.85,17.38,0.607,0.535,1.69,8.85,5.29,16.63,2.46,0.64,165.88,1.97,120.5,104.2,61
PG,191cm,84kg,22,NCAA,51,9.86,0.45,5.21,0.405,4.69,0.871,2.76,3.07,1.08,0.06,1.79,1.8,15.07,0.623,0.557,1.85,9,5.52,12.98,2.17,0.22,172.63,0.85,124.6,107.4,61
SG,196cm,93kg,23,NCAA,79,7.84,0.448,3.67,0.351,2.84,0.797,3.19,2.13,1.18,0.18,2.11,1.51,10.57,0.575,0.53,5.38,9.35,7.42,14.12,2.71,0.81,159.64,-0.37,116.2,101.8,61
SF,196cm,104kg,22,NCAA,70,11.99,0.437,4.74,0.348,3.71,0.786,5.21,1.18,0.58,0.41,2.08,1.74,15.05,0.547,0.506,4.64,19.05,11.81,11.24,1.27,1.78,157.11,-3.6,109.4,100.2,61
G,185cm,84kg,22,NCAA,127,10.2,0.438,3.81,0.379,3.38,0.738,3.55,5.76,1.66,0.17,1.05,2.37,12.88,0.546,0.509,2.21,9.5,5.93,16.71,2.83,0.53,155.58,4.29,113.2,103.5,61
G,191cm,88kg,22,NCAA,104,10.73,0.409,5.72,0.376,2.37,0.769,2.66,2.52,1.03,0.16,2.7,1.36,12.75,0.538,0.509,1.85,8.41,5.07,10.31,2.07,0.63,155.37,1.1,110.7,104.4,61
G,196cm,100kg,22,NCAA,116,9.06,0.451,4.68,0.424,1.73,0.71,2.91,1.48,0.42,0.07,1.84,1.3,11.38,0.576,0.56,1.24,9.39,5.49,11.6,0.78,0.25,158.53,-0.99,110,109,61
PF,196cm,102kg,22,NCAA,82,9.23,0.528,1.1,0.35,3.79,0.772,7.2,0.98,1,1.24,1.96,1.01,13.06,0.592,0.549,10.58,22.42,16.84,8.37,2.42,5.13,165.02,-1.48,124.3,96,61
PF,203cm,98kg,23,NCAA,113,8.53,0.414,4.25,0.333,1.63,0.726,4.75,1.93,0.86,0.74,1.66,1.48,9.65,0.519,0.496,5.28,12.86,9.12,13.75,1.74,2.67,147.2,-0.68,106.8,101.3,61
F,201cm,100kg,21,NCAA,103,10.56,0.551,2.06,0.377,4.34,0.684,9.87,2.21,1.26,1.37,2.21,1.85,15.38,0.61,0.588,-,-,-,12.78,-,-,161.18,-,-,-,61
F,196cm,79kg,23,NCAA,33,8.75,0.503,0.96,0.138,2.51,0.573,10.84,3.07,1.07,0.65,2.47,2.22,10.37,0.521,0.51,14.04,30.67,22.53,18.25,2.32,2.64,121.41,-0.65,109.5,85.6,61
PF,201cm,109kg,21,NCAA,96,10.59,0.483,1.12,0.403,5.36,0.755,6.95,1.01,0.43,1.55,2.43,1.91,14.73,0.561,0.505,10.88,16.4,13.78,12.72,0.92,6.12,164.13,-4.55,112.9,97.8,61
SG,193cm,91kg,22,NCAA,93,6.29,0.434,4.23,0.419,1.06,0.805,3.09,2.89,0.74,0.13,1.77,1.09,8.09,0.595,0.575,0.73,12.53,7.04,13.77,1.71,0.51,165.82,3.35,120.9,98.5,61
F,193cm,104kg,22,NCAA,110,8.63,0.552,1.01,0.277,3.47,0.555,5.98,1.67,1.05,0.5,2.96,1.81,11.72,0.57,0.568,7.52,16.4,12.17,15.01,2.23,2.03,138.34,-2.53,110.4,96.1,61
