Pick,Name,Team,Draft-Trades,Pos,HT,WT,Age,YOS,Pre-Draft Team,Class,Nationality,League,Season,School,Class,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER
28,Perry Jones,OKC,,PF,211cm,107kg,20,3,Baylor,So *,United States,NCAA,CAREER,NCAA DI, ,63.0,62.0,32.2,5.46,10.46,.522,0.19,0.68,.279,2.57,3.79,.678,2.68,4.75,7.43,1.24,0.70,0.75,2.35,1.95,13.68,.558,.531,10.64,17.20,14.07,8.25,13.73,1.33,2.59,22.48,147.89,-3.61,1.31,113.3,97.3,19.47
29,Marquis Teague,CHI,,PG,188cm,82kg,19,3,Kentucky,Fr *,United States,NCAA,CAREER,NCAA DI, ,40.0,40.0,32.5,3.62,8.80,.412,0.65,2.00,.325,2.12,2.98,.714,0.42,2.10,2.52,4.78,0.93,0.25,2.27,2.73,10.03,.491,.449,1.59,6.75,4.36,25.57,21.06,1.70,0.73,20.21,145.12,1.44,1.14,101.4,97.3,12.56
30,Festus Ezeli,GOS,,C,211cm,120kg,22,5,Vanderbilt,Sr,Nigeria,NCAA,CAREER,NCAA DI, ,121.0,67.0,17.9,2.73,4.85,.562,0.00,0.00,.000,2.26,3.88,.584,1.78,2.70,4.48,0.15,0.34,1.68,2.60,1.61,7.72,.577,.562,12.18,16.16,14.31,1.80,19.41,1.13,9.41,23.74,114.64,-8.59,1.59,104.4,94.7,19.21
31,Jeffery Taylor,CHA,,SF,201cm,102kg,23,3,Vanderbilt,Sr,Sweden,NCAA,CAREER,NCAA DI, ,134.0,133.0,29.3,4.96,10.28,.483,0.86,2.40,.358,3.37,4.87,.693,2.09,3.52,5.61,1.88,1.09,0.45,2.34,2.31,14.16,.562,.524,8.76,13.00,11.01,14.32,15.48,2.21,1.54,25.94,153.41,-3.64,1.38,111.3,98.1,20.34
32,Tomas Satoransky,WAS,,PG,201cm,95kg,20,5,Coosur Real Betis (Spain),1991 DOB *,Czech Republic,INTERNATIONAL,2012-13 *,All Teams,All Leagues,45.0,42.0,28.9,4.38,9.47,.462,0.69,2.07,.333,2.40,3.07,.783,0.98,2.36,3.33,4.38,1.13,0.18,2.80,3.33,11.84,.548,.499,4.26,11.69,7.73,28.98,23.56,2.28,0.65,24.12,157.84,-1.53,1.25,101.8,112.1,14.56
33,Bernard James,CLE,CLE to DAL,PF,208cm,104kg,27,3,Florida State,Sr,United States,NCAA,CAREER,NCAA DI, ,69.0,57.0,24.6,3.97,6.33,.627,0.00,0.00,.000,1.78,3.38,.528,2.62,4.41,7.03,0.35,0.80,2.38,1.80,1.78,9.72,.613,.627,12.61,19.32,16.12,3.14,18.34,1.90,11.18,19.68,115.49,-6.29,1.54,110.7,86.0,22.68
34,Jae Crowder,CLE,CLE to DAL,SF,198cm,107kg,21,9,Marquette,Sr,United States,NCAA,CAREER,NCAA DI, ,72.0,52.0,30.2,5.21,10.58,.492,1.43,4.08,.350,2.72,3.99,.683,2.12,5.46,7.58,1.83,1.88,0.93,2.47,1.03,14.57,.584,.560,8.13,19.87,14.15,12.55,7.61,3.58,3.17,21.97,152.54,0.63,1.38,125.2,90.7,25.00
35,Draymond Green,GOS,,F,198cm,107kg,22,9,Michigan State,Sr,United States,NCAA,CAREER,NCAA DI, ,145.0,67.0,24.9,3.74,8.02,.467,0.63,1.74,.361,2.34,3.41,.687,1.95,5.59,7.54,2.92,1.24,0.81,2.74,1.90,10.46,.543,.506,9.39,25.52,17.67,24.30,16.49,3.04,3.69,23.54,151.49,0.19,1.30,112.3,88.3,22.88
36,Orlando Johnson,SAC,SAC to IND,GF,196cm,100kg,23,3,UC Santa Barbara,Sr,United States,NCAA,CAREER,NCAA DI, ,124.0,122.0,31.3,5.95,13.02,.457,1.79,4.58,.391,4.11,5.71,.720,1.79,3.78,5.57,2.57,0.90,0.55,2.23,2.61,17.81,.566,.526,7.04,14.03,10.63,21.26,14.25,1.78,2.03,30.53,156.84,-2.98,1.37,110.8,102.1,22.61
37,Quincy Acy,TOR,,F,201cm,109kg,21,7,Baylor,Sr,United States,NCAA,CAREER,NCAA DI, ,139.0,66.0,25.1,3.62,6.01,.602,0.02,0.06,.375,2.53,3.57,.708,2.16,3.81,5.96,0.62,0.73,1.27,2.55,1.57,9.78,.635,.604,10.75,17.02,14.05,4.85,16.92,1.78,5.56,18.66,168.51,-4.72,1.63,120.1,95.6,20.60
38,Quincy Miller,DEN,,PF,211cm,95kg,19,3,Baylor,Fr *,United States,NCAA,CAREER,NCAA DI, ,37.0,35.0,24.4,3.73,8.35,.447,0.65,1.86,.348,2.51,3.08,.816,1.46,3.46,4.92,1.41,0.68,0.65,1.86,1.78,10.62,.541,.485,7.49,16.12,12.02,11.42,15.38,1.65,2.86,23.92,161.02,-3.52,1.27,110.1,97.7,18.47
39,Khris Middleton,DET,,SF,203cm,101kg,20,9,Texas A&M,Jr *,United States,NCAA,CAREER,NCAA DI, ,87.0,69.0,26.0,3.90,9.06,.430,1.06,3.30,.321,2.40,3.13,.768,1.51,3.07,4.57,2.01,1.00,0.20,2.15,1.99,11.25,.534,.489,6.98,14.19,10.59,18.12,15.87,2.45,0.89,25.33,151.91,-2.68,1.24,107.2,96.1,18.44
40,Will Barton,POR,,GF,196cm,82kg,21,9,Memphis,So *,United States,NCAA,CAREER,NCAA DI, ,70.0,56.0,32.9,5.67,12.03,.471,1.09,3.63,.299,2.74,3.74,.733,1.70,4.76,6.46,2.87,1.49,0.60,2.20,2.34,15.17,.549,.517,6.41,16.14,11.53,18.45,14.51,2.65,1.90,24.84,150.35,-1.30,1.26,110.3,94.4,20.49
41,Tyshawn Taylor,POR,POR to BRK,G,191cm,84kg,22,2,Kansas,Sr,United States / Vietnam,NCAA,CAREER,NCAA DI, ,146.0,127.0,27.7,3.77,7.92,.477,0.82,2.22,.370,2.45,3.47,.708,0.32,1.90,2.22,3.94,1.18,0.21,2.10,2.59,10.82,.566,.529,1.41,7.21,4.51,25.62,21.30,2.48,0.80,21.69,155.45,0.13,1.37,107.5,96.6,15.60
42,Doron Lamb,MIL,,SG,193cm,95kg,20,2,Kentucky,So *,United States,NCAA,CAREER,NCAA DI, ,78.0,50.0,29.8,4.31,8.88,.485,1.85,3.88,.475,2.59,3.19,.811,0.44,1.91,2.35,1.56,0.53,0.10,2.01,1.19,13.05,.627,.589,1.74,6.88,4.44,9.95,10.28,1.06,0.33,19.89,177.13,-0.51,1.47,127.8,100.3,17.74
43,Mike Scott,ATL,,PF,203cm,108kg,23,9,Virginia,Sr,United States,NCAA,CAREER,NCAA DI, ,130.0,106.0,26.6,4.50,8.63,.521,0.12,0.34,.364,2.71,3.49,.775,2.57,4.69,7.26,0.95,0.65,0.39,2.02,1.62,11.83,.575,.529,11.45,20.77,16.13,8.31,13.62,1.49,1.62,23.26,166.04,-3.84,1.37,114.6,97.8,21.27
44,Kim English,DET,,SG,198cm,91kg,23,1,Missouri,Sr,United States,NCAA,CAREER,NCAA DI, ,141.0,105.0,24.2,3.65,8.70,.420,1.70,4.30,.394,2.13,2.94,.725,0.67,2.38,3.05,1.44,1.08,0.20,1.79,1.67,11.13,.551,.517,3.12,11.13,7.13,10.67,14.22,2.55,0.85,23.62,153.94,-2.87,1.28,107.3,97.6,16.20
45,Justin Hamilton,PHL,PHL to MIA,C,213cm,116kg,22,3,LSU,Jr *,United States / Croatia,NCAA,CAREER,NCAA DI, ,96.0,81.0,21.8,3.01,5.62,.535,0.03,0.12,.250,1.84,2.49,.741,2.40,2.80,5.20,0.47,0.38,0.97,2.00,1.05,7.90,.580,.538,12.29,14.44,13.36,4.63,13.39,1.03,4.63,18.55,152.58,-3.47,1.40,116.0,98.5,18.54
46,Darius Miller,NOP,,GF,203cm,102kg,22,7,Kentucky,Sr,United States,NCAA,CAREER,NCAA DI, ,152.0,82.0,24.9,2.92,6.51,.449,1.15,3.05,.378,1.22,1.49,.815,0.97,2.23,3.20,1.82,0.75,0.65,2.31,1.41,8.21,.569,.537,4.67,9.39,7.19,13.19,16.39,1.76,2.59,17.25,164.19,-0.80,1.26,113.8,96.4,14.48
47,Kevin Murphy,UTH,,GF,196cm,84kg,22,1,Tennessee Tech,Sr,United States,NCAA,CAREER,NCAA DI, ,128.0,108.0,29.0,5.52,12.45,.443,1.49,4.01,.372,3.25,4.73,.686,0.86,3.33,4.19,1.95,0.80,0.19,2.13,2.98,15.77,.536,.503,3.62,13.34,8.60,14.61,16.84,1.67,0.73,29.73,150.17,-5.81,1.27,102.4,104.8,17.24
48,Kostas Papanikolaou,NYK,NYK to PORPOR to HOU,PF,203cm,102kg,21,2,Olympiacos (Greece),1990 DOB,Greece,INTERNATIONAL,2012-13 *,All Teams,All Leagues,65.0,60.0,23.0,3.26,6.09,.535,1.32,2.86,.462,1.14,1.69,.673,1.08,3.18,4.26,1.57,0.98,0.65,1.80,1.03,8.98,.657,.644,6.13,16.54,11.57,11.79,13.10,2.40,2.81,16.54,167.04,0.07,1.47,125.2,95.6,18.41
49,Kyle O'Quinn,ORL,,F,208cm,113kg,22,8,Norfolk State,Sr,United States,NCAA,CAREER,NCAA DI, ,132.0,99.0,27.0,4.66,8.45,.552,0.42,1.58,.263,2.55,3.73,.685,2.56,5.83,8.39,0.95,0.52,2.14,2.93,2.01,12.29,.601,.576,10.90,23.74,17.46,8.02,16.42,1.11,8.27,22.13,149.97,-4.98,1.45,113.8,95.9,22.89
50,Izzet Turkyilmaz,DEN,,C,213cm,96kg,22,0,Teksut Bandirma (Turkey),1990 DOB,Turkey,INTERNATIONAL,2012-13 *,All Teams,All Leagues,51.0,6.0,12.0,1.57,3.80,.412,0.43,1.49,.289,0.57,0.75,.763,0.84,1.63,2.47,0.63,0.20,0.55,1.76,0.96,4.14,.501,.469,9.43,16.84,13.28,8.78,18.87,0.95,4.54,21.29,146.50,-4.83,1.09,98.0,107.4,11.77
51,Kris Joseph,BOS,,SF,201cm,95kg,23,1,Syracuse,Sr,Canada / Trinidad and Tobago,NCAA,CAREER,NCAA DI, ,140.0,77.0,26.6,3.50,7.80,.449,0.80,2.41,.331,2.73,3.89,.702,1.29,3.20,4.49,1.49,1.28,0.49,1.59,1.53,10.53,.546,.500,5.77,12.50,9.37,9.81,13.68,2.85,2.00,20.82,148.23,-2.03,1.35,111.8,95.4,17.44
52,Ognen Kuzmic,GOS,,C,216cm,114kg,22,2,Unicaja (Spain),1990 DOB,Bosnia and Herzegovina / Serbia,GLEAGUE,CAREER, ,None,57.0,48.0,28.2,4.00,8.09,.495,0.00,0.04,.000,1.82,2.58,.707,4.30,7.56,11.86,1.26,0.67,1.79,3.18,1.56,9.82,.533,.495,16.48,26.72,21.81,6.34,14.48,1.15,5.21,16.03,120.21,-2.59,1.21,113.1,98.5,17.13
53,Furkan Aldemir,LAC,LAC to HOUHOU to PHL,PF,208cm,109kg,20,1,Galatasaray (Turkey),1991 DOB *,Turkey,INTERNATIONAL,2012-13 *,All Teams,All Leagues,52.0,18.0,16.1,2.06,3.08,.669,0.00,0.02,.000,0.69,1.56,.444,2.44,3.87,6.31,0.60,0.54,0.44,1.79,0.52,4.81,.639,.669,19.38,29.91,24.71,5.98,12.13,1.99,2.91,13.34,111.32,-0.83,1.56,134.8,95.6,21.50
54,Tornike Shengelia,PHL,PHL to BRK,PF,206cm,100kg,20,2,Proximus Spirou Charleroi (Belgium),1991 DOB *,Georgia,GLEAGUE,CAREER, ,None,14.0,14.0,33.9,7.43,14.00,.531,1.14,3.29,.348,5.14,7.29,.706,2.79,4.50,7.29,3.29,1.79,1.07,3.93,4.57,21.14,.614,.571,9.85,15.03,12.51,15.24,20.99,2.55,2.25,26.54,158.43,-6.97,1.51,109.8,110.9,20.48
55,Darius Johnson-Odom,DAL,DAL to LAL,SG,188cm,100kg,22,2,Marquette,Sr,United States,NCAA,CAREER,NCAA DI, ,105.0,90.0,30.8,5.31,11.97,.444,2.10,5.23,.403,2.97,4.11,.722,0.53,2.52,3.06,2.50,0.89,0.16,2.26,2.12,15.70,.564,.532,2.05,9.41,5.79,17.20,13.23,1.70,0.54,26.41,156.87,-1.49,1.31,110.7,101.6,17.83
56,Tomislav Zubcic,TOR,TOR to OKC,C,208cm,104kg,22,0,KK Cibona (Croatia),1990 DOB,Croatia,GLEAGUE,CAREER, ,None,36.0,0.0,19.7,2.75,6.53,.421,1.22,3.47,.352,1.00,1.25,.800,1.36,3.47,4.83,1.42,0.47,0.33,2.00,0.97,7.72,.546,.515,7.28,18.13,12.77,10.71,12.08,1.15,1.37,17.02,157.33,-0.14,1.18,112.0,108.3,13.65
57,Ilkan Karaman,BRK,BRK to CLECLE to MIL,F,203cm,115kg,22,0,Pinar Karsiyaka (Turkey),1990 DOB,Turkey,INTERNATIONAL,2012-13 *,All Teams,All Leagues,51.0,5.0,13.5,2.14,4.10,.522,0.43,1.22,.355,0.51,0.86,.591,0.82,2.43,3.25,0.41,0.43,0.55,1.55,0.71,5.22,.582,.574,8.47,24.02,16.40,5.28,13.62,1.84,4.11,19.38,146.73,-3.38,1.27,111.1,105.5,17.00
58,Robbie Hummel,MIN,,F,203cm,100kg,23,2,Purdue,Sr,United States,NCAA,CAREER,NCAA DI, ,127.0,120.0,30.0,4.59,10.35,.444,1.70,4.36,.390,3.07,3.65,.841,1.87,4.92,6.79,2.11,1.04,0.88,2.42,1.09,13.95,.577,.526,7.30,19.59,13.40,15.06,8.25,2.11,3.27,22.89,167.41,1.11,1.35,124.6,92.1,23.80
59,Marcus Denmon,SAN,,G,191cm,84kg,22,0,Missouri,Sr,United States,NCAA,CAREER,NCAA DI, ,141.0,72.0,25.5,4.23,9.29,.455,2.01,5.00,.401,2.11,2.65,.799,0.93,2.47,3.40,1.67,1.26,0.10,1.30,0.99,12.57,.596,.563,4.13,10.94,7.54,12.10,8.60,2.84,0.40,21.97,165.53,0.47,1.35,124.2,97.4,21.11
