ME,Iteration,Hidden Nodes,Learning Rate,Momentum,Regularization
11.5970507529508,0,128,0.2,0.3,0.001
11.5980432920937,0,"(8, 8)",0.1,0.5,0.0005
11.5997483645653,1,128,0.1,0.8,0.0005
11.6017748994856,2,"(8, 16, 8)",0.1,0.3,0.001
11.6025025179397,2,128,0.2,0.8,0.0005
11.6039396907594,1,128,0.1,0.3,0.001
11.605639565782,2,"(16, 16)",0.1,0.5,0.0001
11.6066227765448,2,"(8, 8, 8)",0.1,0.8,0.0005
11.6080754053318,2,32,0.2,0.3,0.001
11.6086440440184,2,32,0.1,0.5,0.0005
11.6100651426736,1,"(8, 8, 8)",0.1,0.8,0.001
11.6103647010049,0,128,0.1,0.3,0.0005
11.6111130413291,0,"(8, 8, 8)",0.1,0.5,0.0001
11.6122040834837,1,128,0.2,0.3,0.0005
11.6135803546848,2,32,0.2,0.3,0.0005
11.6139595094922,1,64,0.1,0.3,0.0001
11.6155549363521,2,64,0.1,0.8,0.0005
11.6163545644762,1,32,0.1,0.3,0.0001
11.6186854598972,0,32,0.1,0.5,0.001
11.6205116500569,0,"(8, 8, 8)",0.1,0.8,0.001
11.6205997379625,1,128,0.1,0.5,0.001
11.6226148781799,0,128,0.1,0.3,0.001
11.623748077035,2,128,0.2,0.3,0.0001
11.6240591028497,0,"(8, 16, 8)",0.1,0.5,0.0001
11.625521879116,2,32,0.1,0.3,0.0005
11.6281343239866,1,128,0.2,0.8,0.0005
11.6283938724145,1,"(8, 8)",0.1,0.8,0.0005
11.6288444816223,1,"(8, 8, 8)",0.1,0.5,0.001
11.6289700080124,2,32,0.1,0.8,0.001
11.6301392191078,0,128,0.2,0.3,0.0001
11.6316660678361,0,"(16, 16)",0.1,0.8,0.0001
11.6318538498045,1,"(8, 16, 8)",0.1,0.3,0.0001
11.6330741047598,0,32,0.1,0.8,0.0005
11.635368464836,2,"(8, 8)",0.1,0.5,0.0001
11.6384638652565,0,"(32, 32)",0.1,0.5,0.001
11.6418400478318,2,32,0.1,0.3,0.001
11.6420876993538,2,"(8, 16, 8)",0.1,0.8,0.0001
11.6424675582239,1,32,0.1,0.3,0.0005
11.6427743368152,2,"(16, 16)",0.1,0.5,0.001
11.6434339318002,2,128,0.2,0.5,0.0001
11.6441799560599,1,"(8, 8, 8)",0.1,0.8,0.0001
11.6474646324238,0,"(8, 8)",0.1,0.3,0.001
11.6475709669332,2,32,0.2,0.8,0.001
11.6491849659891,1,"(8, 8)",0.1,0.3,0.0001
11.6503320933047,2,128,0.1,0.3,0.001
11.6518617115043,2,32,0.1,0.5,0.0001
11.6519189081395,0,"(8, 8)",0.1,0.3,0.0005
11.6542442827679,0,"(8, 8, 8)",0.1,0.5,0.001
11.654310019466,0,"(16, 16)",0.1,0.3,0.0005
11.6547415766497,0,"(8, 16, 8)",0.1,0.3,0.0005
11.6549656095539,1,"(8, 8, 8)",0.1,0.5,0.0005
11.655200705662,0,32,0.1,0.5,0.0001
11.6617616525625,0,32,0.1,0.3,0.001
11.6618301287591,0,64,0.1,0.8,0.001
11.6636937433085,0,128,0.2,0.3,0.0005
11.6646235112043,1,"(16, 16)",0.1,0.8,0.0001
11.6652149351454,0,"(8, 8, 8)",0.1,0.3,0.0005
11.6707148266486,0,"(8, 16, 8)",0.1,0.8,0.001
11.6730190485078,2,128,0.1,0.8,0.001
11.6731908597184,2,128,0.1,0.3,0.0001
11.6752046365408,2,"(32, 32)",0.1,0.3,0.001
11.6772144879892,0,"(32, 32)",0.2,0.8,0.0001
11.6772757880318,1,"(8, 8, 8)",0.1,0.8,0.0005
11.6788475844726,2,"(16, 16)",0.1,0.3,0.0001
11.6813358395871,0,32,0.2,0.5,0.0001
11.6821107228477,2,32,0.2,0.5,0.0001
11.6825530200551,2,64,0.1,0.5,0.0001
11.6828253510119,1,"(16, 16)",0.1,0.8,0.001
11.6835045410845,2,32,0.1,0.8,0.0001
11.6841852256192,1,128,0.2,0.3,0.001
11.6845651413543,1,"(8, 8)",0.2,0.8,0.0005
11.6847641133097,2,64,0.1,0.8,0.001
11.6847911507991,0,128,0.2,0.8,0.001
11.6857102727426,2,"(8, 8)",0.1,0.5,0.0005
11.6868835977127,2,"(8, 8, 8)",0.1,0.3,0.001
11.6881419071375,2,32,0.1,0.5,0.001
11.6886956102878,0,"(16, 16)",0.1,0.8,0.001
11.6903775846336,0,128,0.2,0.5,0.0001
11.6912261148332,2,32,0.2,0.3,0.0001
11.6915709609833,2,32,0.2,0.5,0.0005
11.6926319207632,2,"(8, 16, 8)",0.1,0.5,0.001
11.6929122800462,2,"(16, 16)",0.1,0.8,0.0001
11.6929168871783,0,"(16, 32, 16)",0.1,0.3,0.0005
11.693267895695,2,"(8, 8)",0.2,0.3,0.0001
11.6943545699153,1,128,0.1,0.5,0.0005
11.6955572485645,1,"(8, 8)",0.2,0.5,0.001
11.6956515980998,2,64,0.1,0.3,0.0005
11.6975199369382,0,"(8, 8)",0.2,0.3,0.001
11.6984429921643,1,"(16, 16)",0.1,0.3,0.0001
11.6989815178877,1,"(8, 16, 8)",0.1,0.8,0.0005
11.7001779420238,1,"(8, 8)",0.2,0.5,0.0001
11.7002949791895,1,"(32, 32)",0.1,0.3,0.0001
11.7014587215232,2,"(32, 32)",0.1,0.5,0.0005
11.7028772267795,2,64,0.2,0.8,0.001
11.7038388198308,2,64,0.2,0.5,0.0001
11.7041007313389,2,"(8, 8)",0.1,0.5,0.001
11.7041156745874,0,"(32, 32)",0.1,0.5,0.0001
11.7059700014394,0,"(32, 32)",0.1,0.3,0.0001
11.7098009632545,1,32,0.1,0.8,0.0005
11.7101290941449,0,"(16, 16)",0.1,0.5,0.001
11.7125734388143,1,"(8, 8)",0.1,0.5,0.0005
11.7131916401087,0,"(8, 16, 8)",0.1,0.5,0.001
11.7135100607104,2,"(8, 8)",0.1,0.3,0.0005
11.715114587739,2,"(32, 32)",0.1,0.8,0.0005
11.7159953455586,0,32,0.1,0.3,0.0001
11.7182588909661,0,32,0.2,0.3,0.0001
11.7196592549516,0,"(8, 16, 8)",0.1,0.8,0.0001
11.7249187254865,2,128,0.1,0.8,0.0001
11.7286373876301,0,64,0.1,0.8,0.0001
11.7295273177945,2,128,0.1,0.3,0.0005
11.730003231756,1,32,0.1,0.8,0.001
11.7323940088992,0,"(32, 32)",0.1,0.8,0.0001
11.7336018559829,0,"(16, 16)",0.2,0.8,0.001
11.7364951053466,1,64,0.1,0.5,0.001
11.7404326284662,2,32,0.1,0.3,0.0001
11.7419541208943,1,"(16, 32, 16)",0.1,0.8,0.0001
11.743019009732,0,128,0.2,0.8,0.0001
11.7433914854773,0,128,0.1,0.8,0.0005
11.7474995411441,2,"(32, 32)",0.1,0.5,0.001
11.7477897029562,1,"(8, 8)",0.2,0.3,0.0005
11.7482747968184,0,64,0.1,0.3,0.001
11.751458229121,2,"(8, 8)",0.2,0.3,0.0005
11.7562204205511,1,"(8, 8)",0.1,0.3,0.001
11.7573394412259,0,"(8, 8)",0.1,0.8,0.0005
11.7589281703778,1,32,0.2,0.8,0.0001
11.7596194265005,2,"(16, 16)",0.1,0.5,0.0005
11.7648007819497,1,"(16, 32, 16)",0.1,0.3,0.001
11.765044364713,1,128,0.2,0.5,0.0005
11.765228327652,0,128,0.1,0.5,0.0001
11.7677686462813,2,"(8, 16, 8)",0.1,0.3,0.0005
11.7714260985306,2,128,0.2,0.5,0.0005
11.7717980739175,1,"(16, 16)",0.1,0.5,0.0001
11.7723305549579,0,"(8, 8, 8)",0.1,0.5,0.0005
11.7737623395955,2,"(32, 32)",0.1,0.5,0.0001
11.7747229348578,0,"(16, 16)",0.1,0.8,0.0005
11.7748082950078,1,64,0.1,0.3,0.0005
11.7758706738992,2,"(32, 32)",0.1,0.3,0.0001
11.7763533495263,2,"(8, 8, 8)",0.1,0.5,0.0001
11.7768417923312,2,"(8, 16, 8)",0.1,0.5,0.0005
11.777657414179,1,64,0.1,0.5,0.0005
11.7786954948591,0,64,0.2,0.3,0.001
11.7800080641547,1,"(8, 16, 8)",0.1,0.8,0.0001
11.7824601232602,0,"(16, 16)",0.1,0.3,0.001
11.7837768335817,0,32,0.2,0.5,0.001
11.7842864766426,2,"(16, 16)",0.1,0.8,0.001
11.7843457639892,2,"(8, 16, 8)",0.1,0.8,0.001
11.7851959131704,0,64,0.1,0.3,0.0001
11.7881044386376,0,64,0.1,0.5,0.001
11.7881378009891,0,"(16, 16)",0.2,0.5,0.001
11.7882180889964,2,"(8, 8)",0.1,0.3,0.0001
11.7882637668004,1,"(8, 8, 8)",0.1,0.3,0.001
11.7895377647258,2,"(16, 16)",0.1,0.8,0.0005
11.7896703550465,2,"(16, 16)",0.1,0.3,0.0005
11.7916226088578,1,32,0.2,0.5,0.001
11.7940101608924,1,"(32, 32)",0.1,0.5,0.0001
11.7967113336441,1,64,0.2,0.3,0.0005
