me,iteration,criterion,splitter,max depth,min_samp_split,min_samp_leaf,min_weight_frac_leaf,min_impurity_dec
9.7459768907563,2,absolute_error,best,32,2,1,0.01,0.01
9.74599789915966,2,absolute_error,best,32,2,4,0.01,0.001
9.74635504201681,2,absolute_error,best,16,6,4,0.01,0.001
9.74932773109244,2,absolute_error,best,8,4,2,0.01,0
9.75035714285714,2,absolute_error,best,8,2,4,0.01,0.001
9.7509768907563,1,absolute_error,best,16,4,2,0.01,0.01
9.75214285714286,2,absolute_error,best,8,2,1,0.01,0.001
9.75242647058823,2,absolute_error,best,16,2,1,0.01,0.001
9.75311974789916,2,absolute_error,best,16,4,4,0.01,0.01
9.75311974789916,2,absolute_error,best,32,4,1,0.01,0.01
9.75357142857143,2,absolute_error,best,8,2,2,0.01,0.001
9.75490546218487,1,absolute_error,best,16,6,2,0.01,0
9.75539915966386,2,absolute_error,best,8,2,2,0.01,0
9.75635504201681,2,absolute_error,best,48,6,1,0.01,0.001
9.75718487394958,2,absolute_error,best,8,6,2,0.01,0
9.75740546218487,1,absolute_error,best,32,4,1,0.01,0.01
9.76028361344538,2,absolute_error,best,32,4,2,0.01,0.001
9.7609768907563,1,absolute_error,best,32,2,2,0.01,0.001
9.76099789915966,2,absolute_error,best,48,6,4,0.01,0.001
9.76169117647059,1,absolute_error,best,8,4,4,0.01,0.001
9.76171218487395,2,absolute_error,best,32,6,1,0.01,0.001
9.76178571428571,2,absolute_error,best,8,4,1,0.01,0.001
9.76206932773109,2,absolute_error,best,48,4,4,0.01,0.001
9.765,2,absolute_error,best,8,4,2,0.01,0.001
9.76528361344538,2,absolute_error,best,24,2,4,0.01,0.001
9.77,2,absolute_error,best,8,6,2,0.01,0.001
9.77276260504202,2,absolute_error,best,24,2,2,0.01,0.01
9.77814075630252,2,absolute_error,best,48,6,2,0.01,0.001
9.77885504201681,2,absolute_error,best,24,4,4,0.01,0.001
9.78111344537815,2,absolute_error,best,8,6,4,0.01,0
9.78135504201681,2,absolute_error,best,24,2,1,0.01,0.001
9.78204831932773,1,absolute_error,best,16,2,1,0.01,0.01
9.78314075630252,2,absolute_error,best,32,6,2,0.01,0.001
9.78528361344538,2,absolute_error,best,32,2,1,0.01,0.001
9.78570378151261,2,absolute_error,best,16,4,1,0.01,0
9.80480042016807,0,absolute_error,best,8,2,4,0.01,0.01
9.80789915966387,2,absolute_error,best,8,4,1,0.01,0
9.81158613445378,0,absolute_error,best,48,2,1,0.01,0.01
9.81633403361345,1,absolute_error,best,8,6,1,0.01,0
9.81776260504202,1,absolute_error,best,8,4,1,0.01,0
9.82408613445378,0,absolute_error,best,48,2,2,0.01,0.01
9.82480042016807,0,absolute_error,best,24,4,4,0.01,0.01
