ME,Iteration,Hidden Nodes,Learning Rate,Momentum,Regularization
12.0818300354337,1,64,0.1,0.3,0.0005
12.0905183519042,2,"(64, 64)",0.1,0.8,0.0005
12.0912824799777,0,64,0.1,0.8,0.0005
12.0951062208746,1,"(128, 128)",0.1,0.8,0.001
12.0989878557264,0,128,0.1,0.5,0.001
12.1018495467669,0,"(64, 64)",0.2,0.3,0.001
12.107197945907,1,"(64, 64)",0.1,0.8,0.0005
12.1077457687002,2,128,0.1,0.8,0.0005
12.1102365255669,2,"(64, 64)",0.1,0.5,0.0005
12.1148224601625,2,"(64, 32, 64)",0.1,0.3,0.0001
12.117351897219,1,"(64, 64)",0.2,0.3,0.0001
12.1192419354813,2,"(128, 128)",0.1,0.8,0.0005
12.1244454174148,0,"(64, 64)",0.1,0.5,0.0001
12.1307650854108,2,128,0.2,0.5,0.0001
12.13219254388,2,128,0.2,0.5,0.001
12.1324737020359,0,"(128, 128)",0.1,0.8,0.0005
12.1365244204481,2,128,0.1,0.3,0.001
12.1420249777445,1,128,0.2,0.3,0.0005
12.1420864637908,0,"(64, 64)",0.2,0.5,0.0005
12.1428197298434,0,64,0.1,0.5,0.0005
12.1448325273803,2,"(64, 32, 64)",0.1,0.3,0.0005
12.1486772809538,1,"(64, 64)",0.2,0.8,0.001
12.1489523795367,0,"(64, 64)",0.2,0.8,0.0005
12.1523460578041,0,128,0.1,0.8,0.0001
12.1555177600923,2,128,0.1,0.8,0.0001
12.1566303937244,0,64,0.2,0.8,0.0001
12.156944153894,0,"(128, 128)",0.2,0.3,0.0005
12.1635551107553,1,"(64, 32, 64)",0.1,0.3,0.0001
12.1644772863051,2,64,0.2,0.5,0.0005
12.1674708370745,2,"(64, 64)",0.1,0.3,0.0005
12.1725638571089,2,"(64, 64)",0.2,0.3,0.001
12.1733144512225,2,64,0.2,0.3,0.0005
12.1759030215738,2,128,0.2,0.8,0.0001
12.1799335020887,0,"(128, 128)",0.2,0.5,0.001
12.1857017661837,1,"(64, 64)",0.2,0.5,0.0005
12.1969512402285,1,"(64, 32, 64)",0.1,0.8,0.0005
12.2027714257565,1,"(128, 128)",0.1,0.3,0.0001
12.2097716258678,0,"(64, 32, 64)",0.1,0.3,0.0001
12.2151576945558,0,128,0.1,0.8,0.001
12.2219296731699,0,"(64, 64)",0.2,0.8,0.0001
12.2264813436026,0,"(128, 128)",0.2,0.5,0.0001
12.2418967407071,2,"(64, 64)",0.2,0.5,0.001
12.2420874605435,2,"(64, 64)",0.1,0.5,0.0001
12.2497535346305,0,"(128, 128)",0.1,0.5,0.0005
12.2631229025531,2,"(64, 32, 64)",0.1,0.8,0.0005
12.2661387979986,2,128,0.1,0.5,0.0001
12.2897907692659,2,"(64, 32, 64)",0.1,0.8,0.001
12.2934356366645,0,"(64, 64)",0.1,0.5,0.001
12.2940261405077,1,"(128, 128)",0.2,0.3,0.001
12.2971471353558,2,"(128, 128)",0.2,0.8,0.0001
12.3010089816219,2,"(64, 64)",0.2,0.8,0.0001
12.301700661539,1,"(128, 128)",0.2,0.8,0.0001
12.3130593299853,0,"(64, 32, 64)",0.1,0.5,0.001
12.3142504209181,1,"(128, 128)",0.1,0.3,0.001
12.3171092032121,0,"(64, 32, 64)",0.1,0.3,0.0005
12.3384027969977,1,64,0.2,0.5,0.0001
12.3489294977718,0,"(64, 64)",0.2,0.3,0.0005
12.3599635058333,0,"(64, 32, 64)",0.1,0.8,0.0001
12.367076612165,0,64,0.2,0.5,0.001
12.3734625798877,0,128,0.2,0.8,0.0001
12.3752564744103,1,"(128, 128)",0.1,0.5,0.0001
12.3804822069116,0,"(128, 128)",0.2,0.8,0.0001
12.3908190483396,2,"(64, 32, 64)",0.2,0.8,0.0001
12.3986454189046,2,128,0.1,0.5,0.0005
12.4128238853818,0,"(64, 64)",0.2,0.8,0.001
12.4387206291488,2,"(64, 64)",0.2,0.3,0.0005
12.447728238305,1,"(64, 64)",0.2,0.3,0.001
12.4487121659833,1,"(64, 64)",0.2,0.8,0.0005
12.4511016975011,0,128,0.2,0.8,0.001
12.4587251169474,1,"(64, 64)",0.1,0.3,0.0001
12.4889677036145,2,"(64, 64)",0.2,0.3,0.0001
12.5410581745726,0,"(128, 128)",0.2,0.8,0.001
12.5519042381558,2,"(64, 64)",0.2,0.5,0.0005
12.7164599312325,1,"(64, 64)",0.2,0.3,0.0005
12.7493497218844,2,"(128, 128)",0.2,0.5,0.0001
12.8612550456548,1,"(128, 128)",0.2,0.3,0.0005
12.8730751899462,1,"(128, 128)",0.2,0.5,0.0005
12.9022769111303,0,"(64, 32, 64)",0.2,0.8,0.0001
12.9334040978339,2,"(64, 32, 64)",0.2,0.5,0.0001
12.9386691285235,1,"(128, 128)",0.2,0.3,0.0001
12.9513983153065,0,"(64, 32, 64)",0.2,0.5,0.0001
12.9603430181296,1,"(64, 32, 64)",0.2,0.5,0.0001
12.9770974797018,1,"(128, 128)",0.2,0.5,0.0001
13.0258962409941,0,"(64, 32, 64)",0.2,0.5,0.001
13.0349626677389,1,"(64, 32, 64)",0.2,0.8,0.001
13.0517240133256,1,"(64, 32, 64)",0.2,0.3,0.001
13.0568361338533,2,"(128, 128)",0.2,0.3,0.0001
13.1264274347037,0,"(64, 32, 64)",0.2,0.3,0.0001
13.1601819528589,0,"(128, 128)",0.2,0.5,0.0005
13.2301097099004,2,"(128, 128)",0.2,0.5,0.001
13.3142268180692,2,"(128, 128)",0.2,0.8,0.0005
13.3403769270355,2,"(64, 32, 64)",0.2,0.3,0.0001
13.3823311770389,2,"(128, 128)",0.2,0.5,0.0005
13.4139652808285,1,"(64, 32, 64)",0.2,0.5,0.001
13.4253440591157,1,"(64, 32, 64)",0.2,0.8,0.0001
13.4254019695985,1,"(64, 32, 64)",0.2,0.3,0.0001
13.4419096347755,1,"(128, 128)",0.2,0.8,0.0005
13.4691734536108,2,"(128, 128)",0.2,0.3,0.0005
13.5780471738173,2,"(64, 32, 64)",0.2,0.8,0.001
13.5851615195837,2,"(64, 32, 64)",0.2,0.3,0.001
13.6331515015814,2,"(64, 32, 64)",0.2,0.5,0.001
13.8306743542359,2,"(64, 32, 64)",0.2,0.3,0.0005
13.8396987326852,0,"(64, 32, 64)",0.2,0.3,0.001
13.8899188523107,0,"(64, 32, 64)",0.2,0.5,0.0005
13.9584486111617,1,"(64, 32, 64)",0.2,0.5,0.0005
13.9595527288501,0,"(64, 32, 64)",0.2,0.3,0.0005
13.9664044390657,2,"(64, 32, 64)",0.2,0.5,0.0005
14.0373230771475,0,"(64, 32, 64)",0.2,0.8,0.001
14.0898385622517,0,"(128, 128)",0.2,0.8,0.0005
14.3217722316224,1,"(64, 32, 64)",0.2,0.3,0.0005
14.4642096551065,0,"(64, 32, 64)",0.2,0.8,0.0005
15.5042373270474,1,"(64, 32, 64)",0.2,0.8,0.0005
15.5582012174766,2,"(64, 32, 64)",0.2,0.8,0.0005
