me,iteration,criterion,splitter,max depth,min_samp_split,min_samp_leaf,min_weight_frac_leaf,min_impurity_dec
9.94052521008403,0,absolute_error,best,16,2,1,0.01,0.01
9.94052521008403,0,absolute_error,best,32,4,4,0.01,0.01
9.94123949579832,0,absolute_error,best,16,6,2,0.01,0.01
9.9413025210084,0,absolute_error,best,8,6,1,0.01,0.001
9.94231092436975,0,absolute_error,best,32,2,2,0.01,0.01
9.94443277310924,0,absolute_error,best,8,6,4,0.01,0.01
9.9448949579832,0,absolute_error,best,32,2,1,0.01,0.001
9.94623949579832,0,absolute_error,best,48,6,1,0.01,0.01
9.94659663865546,0,absolute_error,best,48,4,4,0.01,0.01
9.94756302521008,0,absolute_error,best,8,6,1,0.01,0
9.94846638655462,0,absolute_error,best,16,4,1,0.01,0.001
9.94846638655462,0,absolute_error,best,16,6,2,0.01,0.001
9.94846638655462,0,absolute_error,best,24,6,1,0.01,0.001
9.94909663865546,0,absolute_error,best,16,4,4,0.01,0.01
9.94909663865546,0,absolute_error,best,24,6,1,0.01,0.01
9.94953781512605,0,absolute_error,best,32,4,2,0.01,0.001
9.94989495798319,0,absolute_error,best,16,4,4,0.01,0.001
9.94995798319328,1,absolute_error,best,32,4,4,0.01,0
9.95014705882353,1,absolute_error,best,16,4,1,0.01,0
9.95023109243697,0,absolute_error,best,8,6,4,0.01,0.001
9.95025210084034,0,absolute_error,best,16,2,1,0.01,0.001
9.95060924369748,0,absolute_error,best,48,6,1,0.01,0.001
9.95060924369748,0,absolute_error,best,48,6,2,0.01,0.001
9.95096638655462,0,absolute_error,best,32,2,2,0.01,0.001
9.95123949579832,0,absolute_error,best,48,2,4,0.01,0.01
9.9513025210084,0,absolute_error,best,8,4,2,0.01,0.001
9.95284663865546,1,absolute_error,best,24,4,4,0.01,0
9.95310924369748,0,absolute_error,best,24,4,1,0.01,0.001
9.95338235294118,0,absolute_error,best,24,4,2,0.01,0.01
9.95346638655462,0,absolute_error,best,32,2,4,0.01,0.001
9.95386554621849,1,absolute_error,best,24,4,1,0.01,0
9.95418067226891,0,absolute_error,best,48,4,4,0.01,0.001
9.95451680672269,0,absolute_error,best,8,4,1,0.01,0.001
9.95550420168067,0,absolute_error,best,8,4,4,0.01,0.01
9.95558823529412,0,absolute_error,best,8,4,4,0.01,0.001
9.95596638655462,0,absolute_error,best,24,2,1,0.01,0.001
9.95703781512605,0,absolute_error,best,32,6,1,0.01,0.001
9.95703781512605,0,absolute_error,best,16,6,1,0.01,0.001
9.95764705882353,0,absolute_error,best,8,2,4,0.01,0.01
9.95846638655462,0,absolute_error,best,32,4,1,0.01,0.001
9.9588025210084,0,absolute_error,best,8,6,2,0.01,0.001
9.95953781512605,0,absolute_error,best,48,6,4,0.01,0.001
9.95978991596639,0,absolute_error,best,8,4,2,0.01,0.01
9.95989495798319,0,absolute_error,best,24,6,4,0.01,0.001
9.96193277310924,0,absolute_error,best,8,2,2,0.01,0.01
9.96207983193277,1,absolute_error,best,16,2,2,0.01,0
9.9623949579832,0,absolute_error,best,24,4,2,0.01,0.001
9.96246848739496,1,absolute_error,best,16,2,1,0.01,0
9.96432773109244,1,absolute_error,best,32,6,1,0.01,0
9.96703781512605,0,absolute_error,best,48,4,1,0.01,0.001
9.96739495798319,0,absolute_error,best,32,6,2,0.01,0.001
