RMSE,Hidden Nodes,Learning Rate,Momentum,Regularization
49.199963327527755,64,1.0,0.8,0
18.067346609060248,64,1.0,0.8,1e-05
18.181550376529156,64,1.0,0.8,0.0001
16.699361531715418,64,1.0,0.8,0.0005
47.367870732833204,64,1.0,1.0,0
23.54984650905606,64,1.0,1.0,1e-05
19.81709555312172,64,1.0,1.0,0.0001
16.687859978993714,64,1.0,1.0,0.0005
22.02248848828544,128,0.01,0.0,0
21.927098514615967,128,0.01,0.0,1e-05
21.828940888356726,128,0.01,0.0,0.0001
22.277616426912058,128,0.01,0.0,0.0005
22.048827270247592,128,0.01,0.5,0
21.936556239231884,128,0.01,0.5,1e-05
22.161488332092738,128,0.01,0.5,0.0001
21.972282441897285,128,0.01,0.5,0.0005
22.318180559596897,128,0.01,0.8,0
22.02091384582518,128,0.01,0.8,1e-05
21.87217105176805,128,0.01,0.8,0.0001
22.121531350456948,128,0.01,0.8,0.0005
21.991044274764906,128,0.01,1.0,0
22.278515540456798,128,0.01,1.0,1e-05
22.172327595956762,128,0.01,1.0,0.0001
22.168208945360206,128,0.01,1.0,0.0005
21.71810222678222,128,0.1,0.0,0
19.47237790693953,128,0.1,0.0,1e-05
19.322972013853562,128,0.1,0.0,0.0001
29.37684922298413,128,0.1,0.0,0.0005
18.548876929432993,128,0.1,0.5,0
17.75845014077362,128,0.1,0.5,1e-05
17.23219634521472,128,0.1,0.5,0.0001
17.15877296871399,128,0.1,0.5,0.0005
22.61263463303652,128,0.1,0.8,0
18.15108094494902,128,0.1,0.8,1e-05
23.08079741830775,128,0.1,0.8,0.0001
23.295165641766374,128,0.1,0.8,0.0005
25.849690136296264,128,0.1,1.0,0
17.696123777582663,128,0.1,1.0,1e-05
17.805491308249316,128,0.1,1.0,0.0001
17.820350604263638,128,0.1,1.0,0.0005
50.09962133958263,128,0.8,0.0,0
21.077624968938757,128,0.8,0.0,1e-05
23.208266670156306,128,0.8,0.0,0.0001
19.7654321625828,128,0.8,0.0,0.0005
50.22756182014328,128,0.8,0.5,0
15.240571890350827,128,0.8,0.5,1e-05
19.501503870526992,128,0.8,0.5,0.0001
18.30777053547636,128,0.8,0.5,0.0005
50.04146257399942,128,0.8,0.8,0
20.11017139994807,128,0.8,0.8,1e-05
23.754290554691178,128,0.8,0.8,0.0001
16.238548550883856,128,0.8,0.8,0.0005
50.65561025898523,128,0.8,1.0,0
28.190148357157273,128,0.8,1.0,1e-05
44.766911739192885,128,0.8,1.0,0.0001
12.757870736051595,128,0.8,1.0,0.0005
51.05506565725627,128,1.0,0.0,0
20.28965653366341,128,1.0,0.0,1e-05
13.42861261426963,128,1.0,0.0,0.0001
19.54318242555339,128,1.0,0.0,0.0005
51.14324779552454,128,1.0,0.5,0
21.867318416604427,128,1.0,0.5,1e-05
16.68943669690432,128,1.0,0.5,0.0001
13.382914458768246,128,1.0,0.5,0.0005
50.977025709454445,128,1.0,0.8,0
19.210754088997138,128,1.0,0.8,1e-05
38.69301394503642,128,1.0,0.8,0.0001
14.111870461469517,128,1.0,0.8,0.0005
51.405719071974666,128,1.0,1.0,0
11.77582417537444,128,1.0,1.0,1e-05
51.484395597022065,128,1.0,1.0,0.0001
