me,iteration,criterion,splitter,max depth,min_samp_split,min_samp_leaf,min_weight_frac_leaf,min_impurity_dec
13.841896775862,0,poisson,best,32,2,1,0.01,0.001
13.8421275222362,0,squared_error,best,8,2,1,0.01,0.01
13.84254479451,0,poisson,best,32,6,1,0.01,0.001
13.8438522642608,0,friedman_mse,best,8,4,4,0.01,0
13.8444474525861,1,poisson,best,32,2,4,0.01,0
13.8467772980875,1,poisson,best,32,2,2,0.01,0.01
13.8474218115605,1,poisson,best,32,6,1,0.01,0.001
13.8483697767174,0,poisson,best,32,6,2,0.01,0.001
13.8484441408225,0,friedman_mse,best,8,2,1,0.01,0
13.8491119185588,0,friedman_mse,best,8,4,4,0.01,0.01
13.8496360952835,1,poisson,best,48,4,4,0.01,0.01
13.8497747908768,1,poisson,best,32,4,2,0.01,0.01
13.8514995597571,0,squared_error,best,8,2,4,0.01,0.001
13.8521719457014,0,absolute_error,best,8,2,1,0.01,0
13.8525770194381,0,friedman_mse,best,8,6,4,0.01,0.001
13.8534162895928,0,absolute_error,best,8,6,4,0.01,0
13.8543840369738,0,friedman_mse,best,8,6,4,0,0.001
13.8546465576867,0,friedman_mse,best,8,4,1,0.01,0.01
13.8562798383583,0,squared_error,best,8,2,1,0.01,0.001
13.8566838532694,1,poisson,best,48,4,4,0.01,0
13.8585181109619,0,friedman_mse,best,8,6,2,0.001,0.01
13.8602643642945,2,poisson,best,32,2,1,0.01,0.01
13.8619012433024,2,poisson,best,32,2,2,0.01,0.001
13.8625563597491,0,friedman_mse,best,8,4,4,0.001,0.01
13.8636028785334,0,squared_error,best,8,4,4,0.001,0.001
13.8649204286304,0,squared_error,best,8,4,4,0,0.01
13.8651327212397,0,squared_error,best,8,2,4,0.001,0.01
13.865304890631,0,squared_error,best,8,6,2,0.001,0.001
13.8663879176821,0,squared_error,best,8,2,2,0,0.01
13.8671026044115,0,friedman_mse,best,8,6,2,0.001,0
13.8691047649584,0,poisson,best,32,4,2,0.01,0.001
13.8703634208807,0,squared_error,best,8,2,2,0.001,0.001
13.870433533912,1,poisson,best,48,4,4,0.01,0.001
13.8733480388955,1,poisson,best,48,2,2,0.01,0.01
13.8755769230769,0,absolute_error,best,8,6,1,0.01,0
13.8765463746093,1,poisson,best,48,2,4,0.01,0.001
13.876967747381,0,squared_error,best,8,2,4,0,0.001
13.8784079200747,1,poisson,best,48,2,1,0.01,0.001
13.8789820880594,0,friedman_mse,best,8,2,1,0,0.001
13.8792141893932,0,squared_error,best,8,6,2,0,0.01
13.8798214941735,1,poisson,best,32,2,1,0.01,0.01
13.8811265705735,0,friedman_mse,best,8,4,1,0.01,0
13.8829607216707,0,squared_error,best,8,4,4,0.001,0
13.8842267979632,1,poisson,best,48,6,4,0.01,0
13.8896869419726,0,squared_error,best,8,6,1,0.001,0.01
13.8899495413043,2,poisson,best,32,6,1,0.01,0.001
13.8920574520652,2,poisson,best,48,4,1,0.01,0.001
13.8924440296245,1,poisson,best,32,4,2,0.01,0.001
13.8927736999542,1,poisson,best,32,6,1,0.01,0
13.8937973780269,0,squared_error,best,8,6,4,0.01,0
13.8939868437336,0,friedman_mse,best,8,6,4,0.01,0
13.8946004752186,2,poisson,best,48,6,2,0.01,0.001
13.894798128987,1,poisson,best,48,6,2,0.01,0
13.8953817588083,0,friedman_mse,best,8,6,2,0,0
13.8964366515837,0,absolute_error,best,8,4,4,0.01,0.001
13.898173317528,2,poisson,best,32,2,1,0.01,0
13.898368291637,1,poisson,best,32,4,2,0.01,0
13.8984925118333,0,squared_error,best,8,4,2,0.001,0.001
13.899017646828,0,squared_error,best,8,6,4,0,0.001
13.9002305641219,0,squared_error,best,8,4,4,0.01,0.001
13.9009841628959,0,absolute_error,best,8,6,2,0.01,0.01
13.9019909502262,0,absolute_error,best,24,2,4,0.01,0
13.9038908243041,0,friedman_mse,best,8,6,4,0.001,0
13.9041741455017,0,friedman_mse,best,8,4,4,0.001,0
13.9066932890453,1,poisson,best,32,6,2,0.01,0.01
13.9068416739509,0,squared_error,best,8,6,1,0,0.001
13.9074817711971,0,poisson,best,24,4,1,0.01,0.01
13.9082692307692,0,absolute_error,best,8,4,2,0.01,0
13.9089589123639,1,poisson,best,48,6,1,0.01,0
13.9112443438914,0,absolute_error,best,8,2,2,0.01,0
13.9133028137113,0,squared_error,best,8,4,1,0.01,0.01
13.9151047458463,0,friedman_mse,best,8,4,1,0.001,0.001
13.9159034036184,2,poisson,best,32,6,4,0.01,0
13.919117830369,1,poisson,best,48,2,4,0.01,0
13.919805129011,0,squared_error,best,8,2,2,0.001,0.01
13.9201809954751,0,absolute_error,best,8,2,2,0.01,0.01
13.9211150548676,0,friedman_mse,best,8,4,2,0,0
13.9214655027928,0,friedman_mse,best,8,6,1,0,0.01
13.9222296364208,0,squared_error,best,8,6,2,0,0
13.9227370699175,1,poisson,best,32,6,2,0.01,0
13.923893476824,0,squared_error,best,8,4,4,0,0
